REP1;REP2;REP3;REP4;REP5;REP6;REP7
4;5;5;6;7;10;8
2;3;1;1;1;2;2
0;2;2;1;0;0;1
2;2;2;0;1;1;2
2;0;0;1;1;1;0
1;2;2;0;0;1;0
1;1;0;0;2;1;1
2;0;0;2;1;1;2
1;1;0;0;0;1;2
1;1;2;0;3;2;1
1;11;2;5;1;8;0
2;2;2;1;1;1;1
1;1;4;5;2;1;2
1;0;0;0;1;1;1
0;1;0;0;1;0;0
1;1;1;0;0;1;1
2;3;1;2;4;1;5
1;0;1;0;9;1;1
1;0;0;1;0;0;2
2;1;0;1;2;1;1
2;1;0;1;1;1;0
1;1;1;6;0;2;3
0;1;0;1;2;2;1
6;0;1;1;1;1;1
1;0;0;1;1;0;1
2;1;1;1;0;2;2
1;2;3;1;1;0;0
3;1;1;1;0;2;1
2;2;1;0;0;1;2
0;0;2;0;1;0;0
1;3;0;1;2;0;1
1;0;0;1;1;2;0
1;1;1;2;0;3;1
2;0;0;0;0;0;2
0;1;1;2;1;1;3
2;0;0;0;0;1;1
1;0;0;4;1;0;1
0;0;1;2;1;1;2
4;0;0;2;0;1;0
1;0;0;0;0;2;1
1;1;1;1;0;0;1
2;1;1;1;1;1;2
0;2;0;1;1;1;1
1;2;2;0;0;1;0
2;1;3;1;0;1;0
3;1;1;1;1;0;1
0;1;1;0;0;0;2
1;1;0;1;1;6;0
0;1;1;2;0;2;3
1;0;0;0;0;1;2
1;1;3;2;1;3;1
1;1;2;1;1;2;2
2;1;0;1;1;0;1
1;1;1;1;2;1;0
0;1;3;2;1;0;1
1;1;0;3;0;1;0
0;0;1;0;4;0;1
1;0;0;2;0;3;1
1;0;0;1;3;1;0
1;1;1;1;1;2;1
2;0;2;0;0;1;1
1;1;0;2;2;0;1
3;0;1;1;0;0;2
0;0;2;1;7;1;0
0;1;2;0;1;1;1
2;0;0;1;1;2;1
1;0;0;1;1;0;2
1;1;3;2;2;3;2
1;1;1;2;0;1;0
3;1;0;2;1;0;1
0;0;2;1;0;0;3
1;1;1;0;0;1;1
1;2;0;0;3;1;4
0;1;0;1;2;0;2
1;0;1;1;0;1;1
0;0;0;0;2;0;1
1;0;3;1;1;2;1
0;1;1;0;1;0;2
2;1;0;0;0;3;1
2;0;1;1;1;1;1
1;0;1;1;1;0;0
0;1;1;0;0;1;1
1;0;0;1;1;2;2
3;1;1;1;1;1;1
1;2;0;0;2;0;3
1;0;2;2;1;2;1
1;1;0;2;0;1;0
2;2;1;3;0;0;2
0;3;3;0;2;0;1
0;0;2;10;1;1;0
1;1;2;1;1;2;1
0;1;1;0;0;0;1
0;2;0;0;1;0;2
1;1;2;2;0;1;0
0;0;0;2;1;1;2
2;0;2;1;1;3;1
0;0;2;2;1;1;2
2;1;1;3;1;0;0
1;0;1;0;0;1;1
1;3;0;2;1;2;0
