RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;563;0.421053;0.888889;0.571429
2;301;0.347826;0.888889;0.500000
3;233;0.444444;0.888889;0.592593
4;282;0.444444;0.888889;0.592593
5;223;0.470588;0.888889;0.615385
6;146;0.444444;0.888889;0.592593
7;174;0.444444;0.888889;0.592593
8;183;0.444444;0.888889;0.592593
9;199;0.444444;0.888889;0.592593
10;170;0.370370;1.000000;0.540541
11;201;0.370370;1.000000;0.540541
12;186;0.370370;1.000000;0.540541
13;149;0.370370;1.000000;0.540541
14;147;0.370370;1.000000;0.540541
15;202;0.370370;1.000000;0.540541
16;205;0.370370;1.000000;0.540541
17;237;0.370370;1.000000;0.540541
18;186;0.370370;1.000000;0.540541
19;122;0.370370;1.000000;0.540541
20;129;0.370370;1.000000;0.540541
21;132;0.370370;1.000000;0.540541
22;110;0.370370;1.000000;0.540541
23;130;0.370370;1.000000;0.540541
24;123;0.370370;1.000000;0.540541
25;214;0.370370;1.000000;0.540541
26;122;0.370370;1.000000;0.540541
27;111;0.370370;1.000000;0.540541
28;136;0.370370;1.000000;0.540541
29;166;0.370370;1.000000;0.540541
30;153;0.370370;1.000000;0.540541
31;182;0.370370;1.000000;0.540541
32;101;0.370370;1.000000;0.540541
33;102;0.370370;1.000000;0.540541
34;110;0.370370;1.000000;0.540541
35;133;0.384615;1.000000;0.555556
36;124;0.370370;1.000000;0.540541
37;122;0.370370;1.000000;0.540541
38;155;0.370370;1.000000;0.540541
39;147;0.370370;1.000000;0.540541
40;131;0.370370;1.000000;0.540541
41;152;0.370370;1.000000;0.540541
42;106;0.370370;1.000000;0.540541
43;135;0.384615;1.000000;0.555556
44;117;0.370370;1.000000;0.540541
45;127;0.384615;1.000000;0.555556
46;122;0.384615;1.000000;0.555556
47;196;0.384615;1.000000;0.555556
48;130;0.384615;1.000000;0.555556
49;111;0.384615;1.000000;0.555556
50;137;0.384615;1.000000;0.555556
51;154;0.384615;1.000000;0.555556
52;158;0.384615;1.000000;0.555556
53;120;0.384615;1.000000;0.555556
54;169;0.384615;1.000000;0.555556
55;128;0.384615;1.000000;0.555556
56;200;0.384615;1.000000;0.555556
57;172;0.384615;1.000000;0.555556
58;153;0.384615;1.000000;0.555556
59;167;0.384615;1.000000;0.555556
60;195;0.384615;1.000000;0.555556
61;163;0.384615;1.000000;0.555556
62;162;0.384615;1.000000;0.555556
63;149;0.384615;1.000000;0.555556
64;210;0.384615;1.000000;0.555556
65;102;0.384615;1.000000;0.555556
66;132;0.370370;1.000000;0.540541
67;99;0.370370;1.000000;0.540541
68;163;0.384615;1.000000;0.555556
69;133;0.370370;1.000000;0.540541
70;109;0.370370;1.000000;0.540541
71;159;0.370370;1.000000;0.540541
72;88;0.370370;1.000000;0.540541
73;113;0.370370;1.000000;0.540541
74;157;0.370370;1.000000;0.540541
75;99;0.370370;1.000000;0.540541
76;90;0.370370;1.000000;0.540541
77;128;0.370370;1.000000;0.540541
78;183;0.370370;1.000000;0.540541
79;112;0.370370;1.000000;0.540541
80;158;0.370370;1.000000;0.540541
81;90;0.370370;1.000000;0.540541
82;327;0.370370;1.000000;0.540541
83;193;0.370370;1.000000;0.540541
84;128;0.370370;1.000000;0.540541
85;103;0.370370;1.000000;0.540541
86;125;0.370370;1.000000;0.540541
87;129;0.370370;1.000000;0.540541
88;108;0.370370;1.000000;0.540541
89;88;0.370370;1.000000;0.540541
90;124;0.370370;1.000000;0.540541
91;124;0.370370;1.000000;0.540541
92;84;0.370370;1.000000;0.540541
93;129;0.370370;1.000000;0.540541
94;162;0.370370;1.000000;0.540541
95;191;0.370370;1.000000;0.540541
96;92;0.370370;1.000000;0.540541
97;99;0.370370;1.000000;0.540541
98;81;0.370370;1.000000;0.540541
99;94;0.370370;1.000000;0.540541
100;125;0.370370;1.000000;0.540541
