RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;557;0.500000;0.888889;0.640000
2;344;0.500000;0.888889;0.640000
3;237;0.533333;0.888889;0.666667
4;287;0.500000;0.888889;0.640000
5;199;0.500000;0.888889;0.640000
6;211;0.500000;0.888889;0.640000
7;196;0.470588;0.888889;0.615385
8;169;0.470588;0.888889;0.615385
9;213;0.470588;0.888889;0.615385
10;275;0.500000;0.888889;0.640000
11;165;0.500000;0.888889;0.640000
12;137;0.500000;0.888889;0.640000
13;148;0.500000;0.888889;0.640000
14;184;0.421053;0.888889;0.571429
15;171;0.421053;0.888889;0.571429
16;111;0.421053;0.888889;0.571429
17;127;0.421053;0.888889;0.571429
18;149;0.400000;0.888889;0.551724
19;166;0.400000;0.888889;0.551724
20;128;0.400000;0.888889;0.551724
21;143;0.400000;0.888889;0.551724
22;182;0.400000;0.888889;0.551724
23;106;0.400000;0.888889;0.551724
24;113;0.400000;0.888889;0.551724
25;160;0.400000;0.888889;0.551724
26;105;0.400000;0.888889;0.551724
27;114;0.400000;0.888889;0.551724
28;171;0.400000;0.888889;0.551724
29;148;0.400000;0.888889;0.551724
30;122;0.400000;0.888889;0.551724
31;133;0.400000;0.888889;0.551724
32;85;0.400000;0.888889;0.551724
33;107;0.400000;0.888889;0.551724
34;94;0.400000;0.888889;0.551724
35;99;0.400000;0.888889;0.551724
36;88;0.400000;0.888889;0.551724
37;91;0.400000;0.888889;0.551724
38;127;0.400000;0.888889;0.551724
39;170;0.400000;0.888889;0.551724
40;149;0.400000;0.888889;0.551724
41;87;0.400000;0.888889;0.551724
42;121;0.400000;0.888889;0.551724
43;89;0.400000;0.888889;0.551724
44;105;0.400000;0.888889;0.551724
45;115;0.400000;0.888889;0.551724
46;84;0.400000;0.888889;0.551724
47;119;0.400000;0.888889;0.551724
48;167;0.400000;0.888889;0.551724
49;223;0.400000;0.888889;0.551724
50;118;0.400000;0.888889;0.551724
51;102;0.400000;0.888889;0.551724
52;119;0.400000;0.888889;0.551724
53;88;0.400000;0.888889;0.551724
54;132;0.400000;0.888889;0.551724
55;148;0.400000;0.888889;0.551724
56;205;0.400000;0.888889;0.551724
57;128;0.400000;0.888889;0.551724
58;215;0.400000;0.888889;0.551724
59;216;0.400000;0.888889;0.551724
60;260;0.400000;0.888889;0.551724
61;189;0.400000;0.888889;0.551724
62;141;0.400000;0.888889;0.551724
63;102;0.400000;0.888889;0.551724
64;131;0.400000;0.888889;0.551724
65;122;0.400000;0.888889;0.551724
66;121;0.400000;0.888889;0.551724
67;127;0.400000;0.888889;0.551724
68;136;0.400000;0.888889;0.551724
69;152;0.400000;0.888889;0.551724
70;122;0.400000;0.888889;0.551724
71;124;0.400000;0.888889;0.551724
72;131;0.400000;0.888889;0.551724
73;136;0.400000;0.888889;0.551724
74;140;0.400000;0.888889;0.551724
75;92;0.400000;0.888889;0.551724
76;100;0.400000;0.888889;0.551724
77;213;0.400000;0.888889;0.551724
78;123;0.400000;0.888889;0.551724
79;118;0.400000;0.888889;0.551724
80;183;0.400000;0.888889;0.551724
81;160;0.400000;0.888889;0.551724
82;131;0.400000;0.888889;0.551724
83;114;0.400000;0.888889;0.551724
84;132;0.400000;0.888889;0.551724
85;224;0.400000;0.888889;0.551724
86;137;0.400000;0.888889;0.551724
87;114;0.400000;0.888889;0.551724
88;117;0.400000;0.888889;0.551724
89;114;0.400000;0.888889;0.551724
90;176;0.400000;0.888889;0.551724
91;189;0.400000;0.888889;0.551724
92;141;0.400000;0.888889;0.551724
93;104;0.400000;0.888889;0.551724
94;142;0.400000;0.888889;0.551724
95;158;0.400000;0.888889;0.551724
96;164;0.400000;0.888889;0.551724
97;274;0.400000;0.888889;0.551724
98;106;0.400000;0.888889;0.551724
99;106;0.400000;0.888889;0.551724
100;192;0.400000;0.888889;0.551724
