RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;557;0.533333;0.888889;0.666667
2;279;0.529412;0.900000;0.666667
3;237;0.470588;0.888889;0.615385
4;239;0.500000;0.888889;0.640000
5;208;0.470588;0.888889;0.615385
6;146;0.500000;0.888889;0.640000
7;151;0.500000;0.888889;0.640000
8;174;0.533333;0.888889;0.666667
9;171;0.533333;0.888889;0.666667
10;236;0.533333;0.888889;0.666667
11;225;0.533333;0.888889;0.666667
12;204;0.533333;0.888889;0.666667
13;144;0.533333;0.888889;0.666667
14;171;0.533333;0.888889;0.666667
15;214;0.533333;0.888889;0.666667
16;110;0.533333;0.888889;0.666667
17;104;0.533333;0.888889;0.666667
18;123;0.533333;0.888889;0.666667
19;171;0.533333;0.888889;0.666667
20;157;0.533333;0.888889;0.666667
21;110;0.500000;0.888889;0.640000
22;177;0.500000;0.888889;0.640000
23;80;0.500000;0.888889;0.640000
24;97;0.533333;0.888889;0.666667
25;107;0.470588;0.888889;0.615385
26;106;0.470588;0.888889;0.615385
27;93;0.470588;0.888889;0.615385
28;109;0.470588;0.888889;0.615385
29;159;0.470588;0.888889;0.615385
30;91;0.470588;0.888889;0.615385
31;90;0.470588;0.888889;0.615385
32;92;0.470588;0.888889;0.615385
33;127;0.470588;0.888889;0.615385
34;77;0.470588;0.888889;0.615385
35;107;0.470588;0.888889;0.615385
36;92;0.470588;0.888889;0.615385
37;121;0.470588;0.888889;0.615385
38;103;0.470588;0.888889;0.615385
39;95;0.470588;0.888889;0.615385
40;100;0.470588;0.888889;0.615385
41;147;0.470588;0.888889;0.615385
42;112;0.470588;0.888889;0.615385
43;96;0.470588;0.888889;0.615385
44;76;0.470588;0.888889;0.615385
45;77;0.470588;0.888889;0.615385
46;103;0.470588;0.888889;0.615385
47;90;0.470588;0.888889;0.615385
48;134;0.470588;0.888889;0.615385
49;119;0.470588;0.888889;0.615385
50;98;0.470588;0.888889;0.615385
51;148;0.470588;0.888889;0.615385
52;102;0.470588;0.888889;0.615385
53;71;0.470588;0.888889;0.615385
54;192;0.470588;0.888889;0.615385
55;70;0.470588;0.888889;0.615385
56;153;0.470588;0.888889;0.615385
57;123;0.470588;0.888889;0.615385
58;134;0.470588;0.888889;0.615385
59;178;0.470588;0.888889;0.615385
60;108;0.470588;0.888889;0.615385
61;131;0.470588;0.888889;0.615385
62;100;0.470588;0.888889;0.615385
63;107;0.470588;0.888889;0.615385
64;198;0.470588;0.888889;0.615385
65;220;0.470588;0.888889;0.615385
66;83;0.470588;0.888889;0.615385
67;133;0.470588;0.888889;0.615385
68;137;0.470588;0.888889;0.615385
69;93;0.470588;0.888889;0.615385
70;77;0.470588;0.888889;0.615385
71;148;0.470588;0.888889;0.615385
72;141;0.470588;0.888889;0.615385
73;80;0.470588;0.888889;0.615385
74;119;0.470588;0.888889;0.615385
75;80;0.470588;0.888889;0.615385
76;131;0.470588;0.888889;0.615385
77;115;0.470588;0.888889;0.615385
78;110;0.470588;0.888889;0.615385
79;95;0.470588;0.888889;0.615385
80;163;0.470588;0.888889;0.615385
81;98;0.470588;0.888889;0.615385
82;76;0.470588;0.888889;0.615385
83;88;0.384615;1.000000;0.555556
84;103;0.384615;1.000000;0.555556
85;80;0.384615;1.000000;0.555556
86;81;0.384615;1.000000;0.555556
87;77;0.384615;1.000000;0.555556
88;76;0.384615;1.000000;0.555556
89;110;0.384615;1.000000;0.555556
90;146;0.384615;1.000000;0.555556
91;204;0.384615;1.000000;0.555556
92;76;0.384615;1.000000;0.555556
93;91;0.384615;1.000000;0.555556
94;93;0.384615;1.000000;0.555556
95;166;0.384615;1.000000;0.555556
96;77;0.357143;1.000000;0.526316
97;84;0.357143;1.000000;0.526316
98;92;0.357143;1.000000;0.526316
99;164;0.357143;1.000000;0.526316
100;241;0.357143;1.000000;0.526316
