RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;517;0.500000;0.888889;0.640000
2;314;0.500000;0.888889;0.640000
3;250;0.500000;0.888889;0.640000
4;291;0.470588;0.888889;0.615385
5;181;0.500000;0.888889;0.640000
6;189;0.470588;0.888889;0.615385
7;172;0.444444;0.888889;0.592593
8;163;0.470588;0.888889;0.615385
9;145;0.470588;0.888889;0.615385
10;183;0.470588;0.888889;0.615385
11;205;0.470588;0.888889;0.615385
12;166;0.470588;0.888889;0.615385
13;297;0.470588;0.888889;0.615385
14;144;0.470588;0.888889;0.615385
15;116;0.470588;0.888889;0.615385
16;110;0.470588;0.888889;0.615385
17;153;0.470588;0.888889;0.615385
18;108;0.470588;0.888889;0.615385
19;139;0.470588;0.888889;0.615385
20;152;0.470588;0.888889;0.615385
21;93;0.470588;0.888889;0.615385
22;191;0.470588;0.888889;0.615385
23;110;0.470588;0.888889;0.615385
24;141;0.470588;0.888889;0.615385
25;93;0.470588;0.888889;0.615385
26;87;0.470588;0.888889;0.615385
27;119;0.470588;0.888889;0.615385
28;120;0.470588;0.888889;0.615385
29;118;0.470588;0.888889;0.615385
30;94;0.470588;0.888889;0.615385
31;97;0.470588;0.888889;0.615385
32;115;0.470588;0.888889;0.615385
33;79;0.470588;0.888889;0.615385
34;105;0.470588;0.888889;0.615385
35;88;0.470588;0.888889;0.615385
36;99;0.470588;0.888889;0.615385
37;110;0.470588;0.888889;0.615385
38;105;0.470588;0.888889;0.615385
39;116;0.470588;0.888889;0.615385
40;169;0.470588;0.888889;0.615385
41;90;0.470588;0.888889;0.615385
42;129;0.470588;0.888889;0.615385
43;105;0.470588;0.888889;0.615385
44;95;0.470588;0.888889;0.615385
45;86;0.470588;0.888889;0.615385
46;112;0.470588;0.888889;0.615385
47;157;0.470588;0.888889;0.615385
48;107;0.470588;0.888889;0.615385
49;101;0.470588;0.888889;0.615385
50;125;0.470588;0.888889;0.615385
51;114;0.470588;0.888889;0.615385
52;80;0.470588;0.888889;0.615385
53;107;0.470588;0.888889;0.615385
54;147;0.470588;0.888889;0.615385
55;168;0.470588;0.888889;0.615385
56;152;0.470588;0.888889;0.615385
57;141;0.470588;0.888889;0.615385
58;130;0.470588;0.888889;0.615385
59;162;0.470588;0.888889;0.615385
60;140;0.470588;0.888889;0.615385
61;120;0.470588;0.888889;0.615385
62;111;0.470588;0.888889;0.615385
63;230;0.470588;0.888889;0.615385
64;137;0.470588;0.888889;0.615385
65;137;0.470588;0.888889;0.615385
66;98;0.470588;0.888889;0.615385
67;105;0.470588;0.888889;0.615385
68;82;0.470588;0.888889;0.615385
69;91;0.470588;0.888889;0.615385
70;85;0.470588;0.888889;0.615385
71;105;0.470588;0.888889;0.615385
72;104;0.470588;0.888889;0.615385
73;77;0.470588;0.888889;0.615385
74;119;0.470588;0.888889;0.615385
75;82;0.470588;0.888889;0.615385
76;92;0.470588;0.888889;0.615385
77;118;0.470588;0.888889;0.615385
78;111;0.470588;0.888889;0.615385
79;111;0.470588;0.888889;0.615385
80;145;0.470588;0.888889;0.615385
81;80;0.470588;0.888889;0.615385
82;99;0.470588;0.888889;0.615385
83;166;0.470588;0.888889;0.615385
84;127;0.470588;0.888889;0.615385
85;200;0.470588;0.888889;0.615385
86;125;0.470588;0.888889;0.615385
87;124;0.470588;0.888889;0.615385
88;83;0.470588;0.888889;0.615385
89;84;0.470588;0.888889;0.615385
90;122;0.470588;0.888889;0.615385
91;123;0.470588;0.888889;0.615385
92;91;0.470588;0.888889;0.615385
93;108;0.470588;0.888889;0.615385
94;100;0.470588;0.888889;0.615385
95;154;0.470588;0.888889;0.615385
96;85;0.470588;0.888889;0.615385
97;94;0.470588;0.888889;0.615385
98;97;0.470588;0.888889;0.615385
99;88;0.470588;0.888889;0.615385
100;118;0.400000;1.000000;0.571429
