RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;513;0.500000;0.888889;0.640000
2;239;0.470588;0.888889;0.615385
3;185;0.533333;0.888889;0.666667
4;211;0.533333;0.888889;0.666667
5;176;0.533333;0.888889;0.666667
6;166;0.533333;0.888889;0.666667
7;116;0.500000;0.888889;0.640000
8;180;0.470588;0.888889;0.615385
9;189;0.500000;0.888889;0.640000
10;236;0.533333;0.888889;0.666667
11;185;0.500000;0.888889;0.640000
12;170;0.500000;0.888889;0.640000
13;157;0.500000;0.888889;0.640000
14;193;0.500000;0.888889;0.640000
15;180;0.500000;0.888889;0.640000
16;118;0.500000;0.888889;0.640000
17;151;0.500000;0.888889;0.640000
18;151;0.500000;0.888889;0.640000
19;177;0.500000;0.888889;0.640000
20;151;0.500000;0.888889;0.640000
21;127;0.500000;0.888889;0.640000
22;151;0.500000;0.888889;0.640000
23;163;0.500000;0.888889;0.640000
24;136;0.470588;0.888889;0.615385
25;116;0.500000;0.888889;0.640000
26;103;0.500000;0.888889;0.640000
27;127;0.500000;0.888889;0.640000
28;145;0.470588;0.888889;0.615385
29;175;0.500000;0.888889;0.640000
30;134;0.500000;0.888889;0.640000
31;113;0.500000;0.888889;0.640000
32;131;0.500000;0.888889;0.640000
33;98;0.470588;0.888889;0.615385
34;90;0.470588;0.888889;0.615385
35;103;0.470588;0.888889;0.615385
36;105;0.470588;0.888889;0.615385
37;155;0.470588;0.888889;0.615385
38;121;0.470588;0.888889;0.615385
39;107;0.444444;0.888889;0.592593
40;142;0.470588;0.888889;0.615385
41;158;0.470588;0.888889;0.615385
42;93;0.470588;0.888889;0.615385
43;126;0.470588;0.888889;0.615385
44;108;0.470588;0.888889;0.615385
45;117;0.470588;0.888889;0.615385
46;125;0.379310;1.000000;0.550000
47;161;0.379310;1.000000;0.550000
48;132;0.379310;1.000000;0.550000
49;89;0.379310;1.000000;0.550000
50;90;0.379310;1.000000;0.550000
51;147;0.379310;1.000000;0.550000
52;114;0.379310;1.000000;0.550000
53;102;0.379310;1.000000;0.550000
54;172;0.379310;1.000000;0.550000
55;150;0.379310;1.000000;0.550000
56;213;0.379310;1.000000;0.550000
57;194;0.379310;1.000000;0.550000
58;217;0.379310;1.000000;0.550000
59;147;0.379310;1.000000;0.550000
60;247;0.379310;1.000000;0.550000
61;171;0.379310;1.000000;0.550000
62;167;0.379310;1.000000;0.550000
63;153;0.379310;1.000000;0.550000
64;137;0.379310;1.000000;0.550000
65;237;0.379310;1.000000;0.550000
66;146;0.379310;1.000000;0.550000
67;177;0.379310;1.000000;0.550000
68;112;0.379310;1.000000;0.550000
69;101;0.379310;1.000000;0.550000
70;111;0.379310;1.000000;0.550000
71;118;0.379310;1.000000;0.550000
72;97;0.379310;1.000000;0.550000
73;90;0.379310;1.000000;0.550000
74;120;0.379310;1.000000;0.550000
75;110;0.379310;1.000000;0.550000
76;114;0.379310;1.000000;0.550000
77;170;0.379310;1.000000;0.550000
78;127;0.379310;1.000000;0.550000
79;118;0.379310;1.000000;0.550000
80;171;0.379310;1.000000;0.550000
81;112;0.379310;1.000000;0.550000
82;122;0.379310;1.000000;0.550000
83;102;0.379310;1.000000;0.550000
84;131;0.379310;1.000000;0.550000
85;145;0.379310;1.000000;0.550000
86;112;0.379310;1.000000;0.550000
87;106;0.379310;1.000000;0.550000
88;112;0.379310;1.000000;0.550000
89;99;0.379310;1.000000;0.550000
90;101;0.379310;1.000000;0.550000
91;148;0.379310;1.000000;0.550000
92;200;0.379310;1.000000;0.550000
93;174;0.379310;1.000000;0.550000
94;172;0.379310;1.000000;0.550000
95;250;0.379310;1.000000;0.550000
96;127;0.379310;1.000000;0.550000
97;124;0.379310;1.000000;0.550000
98;119;0.379310;1.000000;0.550000
99;146;0.379310;1.000000;0.550000
100;298;0.379310;1.000000;0.550000
