Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
0;41.8;0;493.355008;217.287056;217.287056
0.5;31.5;0;493.355008;252.57992;252.57992
1;27.7;0;493.355008;270.92;270.92
1.5;29.4;0;487.063552;155.274568;155.274568
2;12.3;0;487.063552;187.335648;187.335648
2.5;20.8;0;487.063552;224.022584;224.022584
3;16.2;1.4;487.063552;252.40232;252.40232
3.5;13.2;0;487.063552;289.725104;289.725104
4;12.5;0.1;506.986496;131.999128;131.999128
4.5;26.9;0;506.986496;161.671088;161.671088
5;16.7;0;506.986496;197.59356;197.59356
5.5;17.71;0;506.986496;217.386152;217.386152
6;11;0.2;506.986496;242.042808;242.042808
6.5;31.4;0;506.986496;267.76156;267.76156
7;12.5;0;506.986496;303.140856;303.140856
7.5;8.71;0.1;499.646464;141.486736;141.486736
8;21.7;0;499.646464;177.613352;177.613352
8.5;28.5;0;499.646464;206.39372;206.39372
9;13.8;0.1;499.646464;238.118808;238.118808
9.5;13;0;499.646464;261.474224;261.474224
10;10.8;0.1;499.646464;298.144392;298.144392
10.5;14;0;499.646464;329.14036;329.14036
11;10.3;0.1;512.229376;155.319776;155.319776
11.5;10.1;0;512.229376;178.349872;178.349872
12;13.1;0;512.229376;208.976232;208.976232
12.5;9.6;0.1;512.229376;220.241536;220.241536
13;18.5;0;512.229376;261.768152;261.768152
13.5;17;0;512.229376;285.546928;285.546928
14;24.6;0.2;512.229376;308.396096;308.396096
14.5;18.1;0;505.413632;133.569824;133.569824
15;23.2;0;505.413632;165.39156;165.39156
15.5;27;0.1;505.413632;189.295584;189.295584
16;29.3;0;505.413632;219.792824;219.792824
16.5;18.5;0.2;505.413632;250.818144;250.818144
17;17;0;505.413632;279.867944;279.867944
17.5;10;0;505.413632;299.35808;299.35808
18;34.2;0;505.413632;311.101968;311.101968
18.5;17.6;0.2;505.413632;333.782328;333.782328
19;11.9;0;508.035072;138.7892;138.7892
19.5;29.4;0.1;508.035072;168.264896;168.264896
20;21.4;0;508.035072;195.664664;195.664664
20.5;19.3;0;508.035072;233.26784;233.26784
21;26.2;0.1;508.035072;273.487544;273.487544
21.5;27;0;508.035072;307.376992;307.376992
22;27.7;0;508.035072;337.443112;337.443112
22.5;28.8;0.1;502.792192;132.898936;132.898936
23;15.5;0;502.792192;153.094072;153.094072
23.5;15.4;0.1;502.792192;188.489568;188.489568
24;15.4;0;502.792192;219.332736;219.332736
24.5;13.1;0;502.792192;239.715752;239.715752
25;25.4;0.1;502.792192;272.053832;272.053832
25.5;13.8;0;502.792192;295.771696;295.771696
26;17.7;0;502.792192;324.228552;324.228552
26.5;23.1;0;502.792192;354.347656;354.347656
27;26.5;0;503.31648;146.84024;146.84024
27.5;15.4;0;503.31648;167.710552;167.710552
28;23.1;0;503.31648;187.609888;187.609888
28.5;13.1;0;503.31648;212.617752;212.617752
29;16.9;0;503.31648;234.411264;234.411264
29.5;24.6;0;503.31648;255.111976;255.111976
30;16.8;0;503.31648;287.524864;287.524864
30.5;24.6;0;503.31648;311.780368;311.780368
31;16.2;0;503.31648;347.66668;347.66668
31.5;19.6;0;497.025024;142.681848;142.681848
32;12.4;0;497.025024;176.449336;176.449336
32.5;16.9;0;497.025024;211.385776;211.385776
33;10.1;0;497.025024;234.383592;234.383592
33.5;23.9;0;497.025024;261.370976;261.370976
34;25.4;0;497.025024;296.964368;296.964368
34.5;27.7;0;497.025024;316.199424;316.199424
35;25.3;0;497.025024;337.270584;337.270584
35.5;20.3;0;495.976448;140.30336;140.30336
36;12.3;0;495.976448;161.068408;161.068408
36.5;32.3;0;495.976448;182.816264;182.816264
37;10.8;0;495.976448;217.25808;217.25808
37.5;23.2;0;495.976448;242.912208;242.912208
38;14.6;0;495.976448;263.489936;263.489936
38.5;14.6;0;495.976448;297.057032;297.057032
39;20.7;0;495.976448;327.174704;327.174704
39.5;14.6;0.1;495.976448;347.722984;347.722984
40;14.2;0;491.782144;130.943072;130.943072
40.5;27;0;491.782144;156.91728;156.91728
41;12.3;0;491.782144;175.623384;175.623384
