Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
41.5;25.4;0;491.782144;208.5586;208.5586
42;23.1;0;491.782144;233.801128;233.801128
42.5;23.8;0;491.782144;257.830736;257.830736
43;37;0;491.782144;278.751496;278.751496
43.5;26.2;0;491.782144;309.854232;309.854232
44;26.2;0;491.782144;337.961296;337.961296
44.5;10.1;0;491.782144;361.584776;361.584776
45;14;0;490.20928;140.838128;140.838128
45.5;17.7;0;490.20928;163.735168;163.735168
46;14.6;0;490.20928;191.16744;191.16744
46.5;15.4;0;490.20928;228.472224;228.472224
47;24.6;0.1;490.20928;254.408848;254.408848
47.5;26.2;0;490.20928;278.602416;278.602416
48;19.3;;490.20928;311.1688;311.1688
48.5;26.2;;490.20928;337.210416;337.210416
49;10.9;;490.20928;360.352688;360.352688
49.5;15.8;;486.014976;145.649384;145.649384
50;21.5;;486.014976;178.395072;178.395072
50.5;22.3;;486.014976;204.104528;204.104528
51;13.8;;486.014976;229.764864;229.764864
51.5;13.1;;486.014976;251.923616;251.923616
52;25.4;;486.014976;276.0838;276.0838
52.5;12.3;;486.014976;298.999376;298.999376
53;10;;486.014976;319.024784;319.024784
53.5;18.5;;486.014976;347.740472;347.740472
54;23.4;;486.014976;363.527392;363.527392
54.5;24.1;;483.393536;141.13204;141.13204
55;15.4;;483.393536;166.439248;166.439248
55.5;27.3;;483.393536;184.98332;184.98332
56;22.5;;483.393536;209.38856;209.38856
56.5;13.9;;483.393536;233.739864;233.739864
57;16.2;;483.393536;257.655408;257.655408
57.5;9.3;;483.393536;282.869936;282.869936
58;31.1;;483.393536;294.036912;294.036912
58.5;51.4;;483.393536;315.55512;315.55512
59;20.1;;483.393536;326.184256;326.184256
59.5;13.1;;483.393536;353.808912;353.808912
60;27.9;;480.247808;144.513152;144.513152
