Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
0;27;0;455.081984;301.2038;301.2038
0.5;35.7;0;492.306432;150.545584;150.545584
1;31;0;492.306432;187.538832;187.538832
1.5;39.4;0;492.306432;219.785288;219.785288
2;25.4;0;492.306432;262.384472;262.384472
2.5;23.8;1.8;492.306432;288.545208;288.545208
3;30.7;0;489.160704;150.672608;150.672608
3.5;29.3;0;489.160704;182.426616;182.426616
4;19;0;489.160704;223.576656;223.576656
4.5;15.5;0;489.160704;280.047488;280.047488
5;18.5;0.1;489.160704;306.970456;306.970456
5.5;22.9;0;523.763712;127.232632;127.232632
6;16.1;0;523.763712;160.455264;160.455264
6.5;18.3;0.4;523.763712;192.252872;192.252872
7;27.1;0;523.763712;232.455752;232.455752
7.5;26.9;0.1;523.763712;274.716712;274.716712
8;13.2;0;523.763712;300.296048;300.296048
8.5;18.9;0;519.569408;131.849232;131.849232
9;23.3;0.1;519.569408;173.7384;173.7384
9.5;11.6;0;519.569408;198.805936;198.805936
10;19.9;0.2;519.569408;237.746632;237.746632
10.5;30.2;0;519.569408;286.810568;286.810568
11;15.3;0;519.569408;317.639696;317.639696
11.5;22.3;0.2;519.569408;360.132976;360.132976
12;22.6;0;552.599552;145.065032;145.065032
12.5;10.9;0;552.599552;176.254408;176.254408
13;11.5;0.1;552.599552;206.602704;206.602704
13.5;10;0;552.599552;252.112936;252.112936
14;18.5;0;552.599552;287.010376;287.010376
14.5;26.9;0.3;552.599552;326.641704;326.641704
15;29.9;0;552.599552;357.422512;357.422512
15.5;21.5;0;552.599552;148.513888;148.513888
16;18.3;0.1;552.599552;171.753088;171.753088
16.5;17.1;0;552.599552;202.96048;202.96048
17;11.6;0;552.599552;245.39944;245.39944
17.5;17.1;0.1;552.599552;297.84824;297.84824
18;10.8;0;552.599552;336.504624;336.504624
18.5;13.8;0;552.599552;381.299784;381.299784
19;23.7;0;552.599552;142.180408;142.180408
19.5;16.8;0.2;552.599552;164.25968;164.25968
20;17.7;0;552.599552;203.36584;203.36584
20.5;13.8;0;552.599552;233.682144;233.682144
21;13.7;0.2;552.599552;275.854144;275.854144
21.5;19.3;0;552.599552;305.530536;305.530536
22;25.1;0;568.85248;341.484344;341.484344
22.5;14;0.1;568.85248;379.319592;379.319592
23;25;0;568.85248;150.956488;150.956488
23.5;17.7;0.2;568.85248;185.00388;185.00388
24;29.3;0;568.85248;226.737072;226.737072
24.5;16.2;0;568.85248;281.834488;281.834488
25;14;0;568.85248;321.045736;321.045736
25.5;16.2;0.1;568.85248;365.09772;365.09772
26;10.1;0;568.85248;416.84092;416.84092
26.5;19.3;0;568.85248;164.905832;164.905832
27;6.2;0;568.85248;196.715704;196.715704
27.5;10.8;0;568.85248;236.396352;236.396352
28;13.1;0.1;568.85248;273.510064;273.510064
28.5;19.5;0;568.85248;301.673552;301.673552
29;15.2;0;589.824;339.836344;339.836344
29.5;37.4;0;589.824;383.370936;383.370936
30;30.7;0;588.251136;129.900368;129.900368
30.5;43.8;0;588.251136;175.97556;175.97556
31;22.7;0;588.251136;207.519008;207.519008
31.5;17;0;588.251136;254.595976;254.595976
32;17.7;0;588.251136;286.66244;286.66244
32.5;10.1;0.1;588.251136;333.208864;333.208864
33;10.1;0;588.251136;378.966648;378.966648
33.5;8.5;0;588.251136;412.875392;412.875392
34;17.2;0;607.125504;137.833272;137.833272
34.5;14.8;0;607.125504;201.361624;201.361624
35;17.7;0;607.125504;254.882832;254.882832
35.5;14.5;0;607.125504;319.429912;319.429912
36;20.8;0;607.125504;372.37564;372.37564
36.5;19.2;0;607.125504;422.023384;422.023384
37;16.4;0;606.601216;164.516384;164.516384
37.5;21.6;0.1;606.601216;212.014024;212.014024
38;11.6;0;606.601216;265.65608;265.65608
38.5;18.7;0;606.601216;301.802664;301.802664
39;34.4;0;606.601216;351.626448;351.626448
39.5;20.1;0;606.601216;414.565032;414.565032
40;33.1;0;629.1456;130.640536;130.640536
40.5;22.1;0;629.1456;163.417272;163.417272
41;12.3;0;629.1456;177.05672;177.05672
41.5;22.4;0.5;629.1456;202.12032;202.12032
42;13.1;0;629.1456;224.748296;224.748296
42.5;23.8;0;629.1456;238.909752;238.909752
43;24.6;0;629.1456;264.89076;264.89076
43.5;11.8;0;629.1456;289.923056;289.923056
44;10.7;0.1;629.1456;308.513216;308.513216
44.5;21.5;0;629.1456;327.977112;327.977112
45;22.3;0;629.1456;351.07932;351.07932
45.5;35.3;0.1;629.1456;371.766144;371.766144
46;44.6;0;629.1456;389.181168;389.181168
46.5;23.1;0.1;629.1456;401.319984;401.319984
47;13.8;0;629.1456;425.076704;425.076704
47.5;33.9;0;629.1456;451.599136;451.599136
48;20;;629.1456;463.542944;463.542944
48.5;23.9;;628.621312;149.843216;149.843216
49;13.8;;628.621312;177.553312;177.553312
49.5;13.9;;628.621312;190.906992;190.906992
50;10.7;;628.621312;213.762768;213.762768
50.5;14.6;;628.621312;238.21488;238.21488
51;11.5;;628.621312;252.20596;252.20596
51.5;23.1;;628.621312;275.64496;275.64496
52;31.5;;628.621312;290.597432;290.597432
52.5;17.8;;628.621312;317.82148;317.82148
53;27.1;;628.621312;330.156648;330.156648
53.5;21.7;;628.621312;345.13904;345.13904
54;23.8;;628.621312;368.33528;368.33528
54.5;30.7;;628.621312;379.433568;379.433568
55;23.9;;628.621312;396.278624;396.278624
55.5;12.2;;628.621312;413.331392;413.331392
56;21.8;;628.621312;433.166288;433.166288
56.5;12.5;;628.621312;446.700128;446.700128
57;26.9;;628.621312;467.622344;467.622344
57.5;12.3;;628.621312;484.80968;484.80968
58;18.4;;628.621312;257.664472;257.664472
58.5;13.1;;628.621312;284.973864;284.973864
59;23.1;;628.621312;295.83992;295.83992
59.5;12.3;;628.621312;224.250488;224.250488
60;21.9;;628.621312;247.046768;247.046768
