Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
30.5;13.8;0;597.164032;177.323392;177.323392
31;19.2;0;597.164032;223.049712;223.049712
31.5;28.7;0;597.164032;273.339272;273.339272
32;19;0;597.164032;331.94672;331.94672
32.5;20.1;0;597.164032;389.276824;389.276824
33;21.3;2.1;618.135552;127.222064;127.222064
33.5;16.9;0;618.135552;178.825848;178.825848
34;16.2;0;618.135552;228.617736;228.617736
34.5;11.2;0;618.135552;291.257536;291.257536
35;24.9;0;618.135552;344.412808;344.412808
35.5;25.4;0;618.135552;392.652408;392.652408
36;32.5;2.1;619.708416;135.29568;135.29568
36.5;35.9;0;619.708416;173.949016;173.949016
37;44.3;0;619.708416;217.350528;217.350528
37.5;45.2;0;619.708416;258.194992;258.194992
38;11.3;0;619.708416;316.49084;316.49084
38.5;10.8;0;619.708416;369.85744;369.85744
39;16.4;0.9;636.485632;106.305008;106.305008
39.5;29.4;0;636.485632;150.89504;150.89504
40;23.1;0;636.485632;203.343296;203.343296
40.5;10.8;0;636.485632;271.065864;271.065864
41;14;0;636.485632;316.24704;316.24704
41.5;17.7;0;636.485632;367.449408;367.449408
42;17.7;0;636.485632;427.932992;427.932992
42.5;12.8;0.4;634.912768;141.96536;141.96536
43;19.9;0;634.912768;203.680448;203.680448
43.5;16.1;0;634.912768;253.009416;253.009416
44;14.6;0;634.912768;273.481752;273.481752
44.5;14.6;0;634.912768;299.508872;299.508872
45;14.8;0;634.912768;358.771768;358.771768
45.5;24.2;0;634.912768;416.14184;416.14184
46;23.6;0.3;644.87424;122.202952;122.202952
46.5;10;0;644.87424;185.678256;185.678256
47;10.1;0;644.87424;246.750816;246.750816
47.5;10.1;0;644.87424;308.614088;308.614088
48;13.8;0;644.87424;369.296296;369.296296
48.5;23;0;644.87424;421.10472;421.10472
49;19.5;0.3;642.2528;123.879192;123.879192
49.5;27;0;642.2528;159.149168;159.149168
50;9.3;0;642.2528;216.977904;216.977904
50.5;6.2;0;642.2528;263.214152;263.214152
51;14.4;0;642.2528;300.421584;300.421584
51.5;27.7;0;642.2528;342.294176;342.294176
52;6.9;0;642.2528;400.84352;400.84352
52.5;11.6;0;642.2528;458.677968;458.677968
53;15.9;0.4;647.49568;158.791872;158.791872
53.5;15.9;0;647.49568;218.191072;218.191072
54;17.7;0;647.49568;280.54556;280.54556
54.5;10;0;647.49568;348.798936;348.798936
55;27.8;0;647.49568;407.091592;407.091592
55.5;11.9;0.3;644.349952;121.773736;121.773736
56;16.4;0;644.349952;186.079168;186.079168
56.5;18.5;0;644.349952;257.12944;257.12944
57;13.2;0;644.349952;296.696536;296.696536
57.5;34.1;0;644.349952;355.857664;355.857664
58;19.4;0;644.349952;409.376256;409.376256
58.5;13.9;0.2;646.971392;108.235704;108.235704
59;15.5;0;646.971392;158.484008;158.484008
59.5;14.9;0;646.971392;158.673648;158.673648
60;19.5;0;646.971392;158.673648;158.673648
