Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
0;34.4;2.6;472.907776;115.86884;115.86884
0.5;25.9;0;472.907776;155.507088;155.507088
1;19.2;0;472.907776;205.828568;205.828568
1.5;16.9;0;472.907776;248.608448;248.608448
2;16.3;0;472.907776;281.915744;281.915744
2.5;23.2;1.7;483.393536;130.773256;130.773256
3;16.7;0;483.393536;166.941328;166.941328
3.5;13.8;0;483.393536;194.092888;194.092888
4;21.2;0;483.393536;230.589432;230.589432
4.5;25.6;0;483.393536;273.631504;273.631504
5;22.4;4;489.160704;102.68244;102.68244
5.5;8.4;0;489.160704;152.962184;152.962184
6;17.6;0;489.160704;180.145224;180.145224
6.5;15.5;0;489.160704;230.647776;230.647776
7;16.2;0;489.160704;264.192592;264.192592
7.5;13.7;0;489.160704;299.00896;299.00896
8;20.2;2.6;489.160704;108.506696;108.506696
8.5;13;0;489.160704;161.92852;161.92852
9;15.3;0;489.160704;208.624992;208.624992
9.5;20.1;0;489.160704;229.380392;229.380392
10;11.9;0;489.160704;277.899224;277.899224
10.5;10.7;0;489.160704;310.779272;310.779272
11;18.1;3.7;489.160704;123.221928;123.221928
11.5;10.7;0;489.160704;155.061384;155.061384
12;22.2;0;489.160704;200.4616;200.4616
12.5;13.1;0;489.160704;251.596936;251.596936
13;10.7;0;489.160704;283.923848;283.923848
13.5;29.5;0;489.160704;309.151128;309.151128
14;26.2;0;489.160704;329.811752;329.811752
14.5;38.6;2.5;492.306432;111.3998;111.3998
15;17.1;0;492.306432;159.60976;159.60976
15.5;26.9;0;492.306432;182.04764;182.04764
16;25.4;0;492.306432;213.313232;213.313232
16.5;13.2;0;492.306432;249.517808;249.517808
17;12.4;0;492.306432;300.967032;300.967032
17.5;16.9;0;492.306432;342.944;342.944
18;25.2;3.3;492.306432;125.26184;125.26184
18.5;10;0;492.306432;177.48728;177.48728
19;16.9;0;492.306432;237.0878;237.0878
19.5;21.7;0;492.306432;275.659512;275.659512
20;10.9;0;492.306432;319.815184;319.815184
20.5;11.6;0;492.306432;368.641272;368.641272
21;25.6;2.4;495.976448;146.37168;146.37168
21.5;26.9;0;495.976448;205.729072;205.729072
22;28.5;0;495.976448;254.316992;254.316992
22.5;23.2;0;495.976448;301.095864;301.095864
23;17.6;0;495.976448;349.26224;349.26224
23.5;22.3;2.2;492.306432;128.38052;128.38052
24;19.3;0;492.306432;172.497048;172.497048
24.5;18.5;0;492.306432;216.454888;216.454888
25;19.3;0;492.306432;258.88748;258.88748
25.5;27.7;0;492.306432;299.139808;299.139808
26;30.2;0;492.306432;347.057536;347.057536
26.5;17.7;0;492.306432;377.635144;377.635144
27;15.3;2.2;598.736896;123.697568;123.697568
27.5;10;0;598.736896;166.532848;166.532848
28;13;0;598.736896;221.854032;221.854032
28.5;10.9;0;598.736896;269.82456;269.82456
29;10.1;0;598.736896;319.627152;319.627152
29.5;14;0;598.736896;366.106952;366.106952
30;21;2.3;597.164032;121.404992;121.404992
