Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
38.5;62.9;0;616.562688;134.574184;134.574184
39;26.9;0;616.562688;178.42092;178.42092
39.5;28.8;0;616.562688;228.971312;228.971312
40;35;0.1;616.562688;272.916056;272.916056
40.5;30.9;0;616.562688;311.862616;311.862616
41;29.2;0;616.562688;364.209096;364.209096
41.5;16.2;0;616.562688;409.868448;409.868448
42;14.6;0;621.28128;136.163256;136.163256
42.5;29.3;0;621.28128;186.593928;186.593928
43;29.2;0;621.28128;238.700888;238.700888
43.5;40;0.1;621.28128;297.9196;297.9196
44;13.4;0;621.28128;349.877072;349.877072
44.5;14.6;0;621.28128;402.133816;402.133816
45;19.3;0;621.28128;456.151416;456.151416
45.5;10.7;0;621.28128;181.592176;181.592176
46;10.9;0.1;621.28128;231.515448;231.515448
46.5;14.8;0;621.28128;293.334896;293.334896
47;16.2;0;621.28128;341.110288;341.110288
47.5;15.5;0;621.28128;394.464224;394.464224
48;10.9;;621.28128;443.004864;443.004864
48.5;34.8;;621.28128;136.807712;136.807712
49;41;;621.28128;185.25732;185.25732
49.5;19.2;;621.28128;238.039872;238.039872
50;10.1;;621.28128;300.547608;300.547608
50.5;29.3;;621.28128;344.019384;344.019384
51;29.3;;621.28128;405.919408;405.919408
51.5;18.6;;621.28128;468.00608;468.00608
52;27.5;;595.06688;171.215832;171.215832
52.5;33.8;;595.06688;227.255808;227.255808
53;14;;595.06688;278.760448;278.760448
53.5;14;;595.06688;337.055904;337.055904
54;9.1;;595.06688;394.697616;394.697616
54.5;10.8;;595.06688;449.963784;449.963784
55;18.8;;595.06688;152.884968;152.884968
55.5;12.4;;595.06688;213.014816;213.014816
56;18.5;;595.06688;273.67192;273.67192
56.5;15.4;;595.06688;317.00656;317.00656
57;14.8;;595.06688;392.38456;392.38456
57.5;17.7;;595.06688;453.557576;453.557576
58;9.61;;607.125504;262.493032;262.493032
58.5;19.3;;607.125504;229.531464;229.531464
59;26.9;;607.125504;282.80444;282.80444
59.5;19.2;;607.125504;344.532976;344.532976
60;14;;607.125504;409.210744;409.210744
