Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
0;32.4;0;508.55936;200.494304;200.494304
0.5;31.5;0;508.55936;221.807368;221.807368
1;24;0;508.55936;259.032704;259.032704
1.5;28.4;0;514.326528;134.36304;134.36304
2;19.2;0;514.326528;166.1222;166.1222
2.5;22.9;0;514.326528;207.046288;207.046288
3;16.1;1.4;514.326528;256.019992;256.019992
3.5;27.9;0;514.326528;294.185344;294.185344
4;29.9;0.1;514.326528;160.286928;160.286928
4.5;16.2;0;514.326528;195.066208;195.066208
5;24.9;0;514.326528;234.222984;234.222984
5.5;17.4;0.1;514.326528;253.822144;253.822144
6;17.5;0;549.978112;282.109528;282.109528
6.5;25.6;0.1;549.978112;130.426864;130.426864
7;15.3;0;549.978112;167.360216;167.360216
7.5;20.5;0;549.978112;201.25872;201.25872
8;12.7;0.1;549.978112;243.4598;243.4598
8.5;16.1;0;549.978112;292.586032;292.586032
9;11.6;0;556.793856;335.770264;335.770264
9.5;25.5;0.1;556.793856;161.932696;161.932696
10;22.5;0;556.793856;206.101536;206.101536
10.5;37;0;556.793856;252.289888;252.289888
11;33.2;0;556.793856;301.406472;301.406472
11.5;16.7;0.1;556.793856;339.484768;339.484768
12;24.8;0;556.793856;152.756768;152.756768
12.5;13;0;556.793856;183.892632;183.892632
13;27.9;0;556.793856;216.354976;216.354976
13.5;36.1;0;556.793856;261.75672;261.75672
14;13.8;0.1;596.115456;316.502536;316.502536
14.5;12.4;0;596.115456;360.36668;360.36668
15;26.1;0.1;596.115456;138.063432;138.063432
15.5;29.3;0;596.115456;171.442792;171.442792
16;16;0;596.115456;203.934696;203.934696
16.5;13.8;0;596.115456;255.4764;255.4764
17;20.9;0.2;596.115456;301.827432;301.827432
17.5;28.5;0;596.115456;369.435608;369.435608
18;24.1;0.2;596.115456;167.517928;167.517928
18.5;17.7;0;596.115456;223.659488;223.659488
19;17.8;0;596.115456;282.46176;282.46176
19.5;13;0.1;596.115456;319.869152;319.869152
20;20.9;0;596.115456;365.031808;365.031808
20.5;14.7;0;625.999872;402.259112;402.259112
21;26.2;0.2;625.999872;158.589472;158.589472
21.5;9.2;0;625.999872;222.1096;222.1096
22;26.2;0.1;625.999872;269.415816;269.415816
22.5;10;0;625.999872;312.49728;312.49728
23;11.5;0;625.999872;365.892432;365.892432
23.5;28;0;625.999872;147.702856;147.702856
24;16.4;0;625.999872;204.237416;204.237416
24.5;13.2;0;625.999872;250.998248;250.998248
25;18.4;0;625.999872;293.499608;293.499608
25.5;18.5;0;625.999872;337.093136;337.093136
26;13.2;0;625.999872;377.418992;377.418992
26.5;10.8;0;653.787136;430.021248;430.021248
27;33.6;0;653.787136;179.765352;179.765352
27.5;33.3;0;653.787136;226.10744;226.10744
28;15.4;0;653.787136;269.744744;269.744744
28.5;11.2;0;653.787136;317.8114;317.8114
29;10.7;0;653.787136;377.145672;377.145672
29.5;29.2;0;653.787136;426.040096;426.040096
30;23.1;0;653.787136;161.224464;161.224464
30.5;28.5;0;653.787136;222.147072;222.147072
31;14;0;653.787136;278.082648;278.082648
31.5;18.6;0;653.787136;322.636424;322.636424
32;8.5;0;653.787136;375.392504;375.392504
32.5;15.5;0;664.272896;431.052824;431.052824
33;21.5;0;664.272896;149.95776;149.95776
33.5;27.8;0;664.272896;196.192104;196.192104
34;20.3;0;664.272896;259.189408;259.189408
34.5;30.4;0;664.272896;300.135608;300.135608
35;43.6;0;664.272896;344.58368;344.58368
35.5;28.5;0;664.272896;389.618456;389.618456
36;26.2;0;664.272896;444.318384;444.318384
36.5;52.2;0;664.272896;153.693584;153.693584
37;15.4;0.1;664.272896;212.217536;212.217536
37.5;32.9;0;664.272896;261.247112;261.247112
38;32;0;664.272896;292.029888;292.029888
38.5;27.2;0;664.272896;334.580208;334.580208
39;28.7;0;664.272896;376.525672;376.525672
39.5;10.7;0;664.272896;425.337744;425.337744
40;13.1;0;680.001536;472.545752;472.545752
40.5;14;0;680.001536;164.029792;164.029792
41;19.2;0;680.001536;225.707832;225.707832
41.5;30;0;680.001536;273.276024;273.276024
42;12.4;0;680.001536;332.223904;332.223904
42.5;13.1;0;680.001536;390.5288;390.5288
43;26.8;0;680.001536;457.654112;457.654112
43.5;15.1;0;664.272896;157.83472;157.83472
44;19.3;0;664.272896;210.568712;210.568712
44.5;18.5;0;664.272896;276.8722;276.8722
45;23.7;0;664.272896;297.369488;297.369488
45.5;25.4;0;664.272896;323.830976;323.830976
46;27.7;0;664.272896;371.90184;371.90184
46.5;27.7;0;664.272896;425.33364;425.33364
47;10.9;0;664.272896;485.193816;485.193816
47.5;18.2;0;664.272896;163.796496;163.796496
48;28.5;;664.272896;211.642328;211.642328
48.5;13.2;;664.272896;273.241904;273.241904
49;29.3;;664.272896;340.061664;340.061664
49.5;25.5;;664.272896;399.050024;399.050024
50;18.6;;664.272896;448.346312;448.346312
50.5;10;;680.001536;498.378488;498.378488
51;26;;680.001536;178.943544;178.943544
51.5;10.8;;680.001536;238.12252;238.12252
52;26.9;;680.001536;289.747048;289.747048
52.5;26.9;;680.001536;352.720936;352.720936
53;27.6;;680.001536;412.711624;412.711624
53.5;10.9;;680.001536;474.364696;474.364696
54;28.8;;680.001536;141.512584;141.512584
54.5;17;;680.001536;204.92448;204.92448
55;27;;680.001536;257.810952;257.810952
55.5;15.4;;680.001536;293.15288;293.15288
56;19.3;;680.001536;330.49044;330.49044
56.5;10.3;;680.001536;386.513296;386.513296
57;19.3;;680.001536;442.887072;442.887072
57.5;16.2;;690.487296;510.757792;510.757792
58;18.7;;690.487296;292.749896;292.749896
58.5;13.2;;690.487296;255.55576;255.55576
59;10.8;;690.487296;316.224912;316.224912
59.5;17;;690.487296;382.294288;382.294288
60;18.6;;690.487296;437.000656;437.000656
