Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
0;28.7;0;492.306432;215.537456;215.537456
0.5;23.6;0;492.306432;254.83828;254.83828
1;17.7;0;492.306432;290.551128;290.551128
1.5;21.4;2.1;495.976448;165.907064;165.907064
2;20.2;0;495.976448;211.037872;211.037872
2.5;14.6;0;495.976448;241.1676;241.1676
3;20.2;0;495.976448;294.762544;294.762544
3.5;23.1;2.2;499.646464;135.260592;135.260592
4;11.9;0;499.646464;168.059112;168.059112
4.5;19.5;0;499.646464;203.49984;203.49984
5;19.9;0;499.646464;226.349416;226.349416
5.5;30;0;499.646464;258.903104;258.903104
6;36;0;499.646464;295.449232;295.449232
6.5;21;2.5;499.646464;132.986952;132.986952
7;16.2;0;499.646464;190.055704;190.055704
7.5;14.6;0;499.646464;212.927584;212.927584
8;15.3;0;499.646464;248.493264;248.493264
8.5;43.6;0;499.646464;281.86688;281.86688
9;13;0;499.646464;330.712248;330.712248
9.5;28.7;2.7;501.219328;136.258264;136.258264
10;20.1;0;501.219328;177.539304;177.539304
10.5;10.7;0;501.219328;214.775648;214.775648
11;21.4;0;501.219328;245.598696;245.598696
11.5;12.5;0;501.219328;295.435208;295.435208
12;14.9;0;501.219328;335.051536;335.051536
12.5;21.3;2.1;501.219328;152.957512;152.957512
13;16.3;0;501.219328;197.55976;197.55976
13.5;17.1;0;501.219328;237.880256;237.880256
14;15.4;0;501.219328;278.900528;278.900528
14.5;29.2;0;501.219328;309.382048;309.382048
15;21.3;0;501.219328;343.001088;343.001088
15.5;21.8;2.5;504.889344;133.256928;133.256928
16;34.3;0;504.889344;177.927464;177.927464
16.5;17.1;0;504.889344;224.96796;224.96796
17;16.3;0;504.889344;274.450248;274.450248
17.5;28.4;0;504.889344;310.619936;310.619936
18;23.8;0;504.889344;349.325112;349.325112
18.5;27;5.4;506.986496;125.746696;125.746696
19;11.5;0;506.986496;165.97904;165.97904
19.5;10.1;0;506.986496;202.90856;202.90856
20;28.1;0;506.986496;239.995568;239.995568
