RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;508;0.533333;0.888889;0.666667
2;302;0.533333;0.888889;0.666667
3;237;0.571429;0.888889;0.695652
4;264;0.666667;0.888889;0.761905
5;230;0.666667;0.888889;0.761905
6;229;0.615385;0.888889;0.727273
7;118;0.615385;0.888889;0.727273
8;214;0.666667;0.888889;0.761905
9;126;0.615385;0.888889;0.727273
10;200;0.615385;0.888889;0.727273
11;180;0.571429;0.888889;0.695652
12;155;0.615385;0.888889;0.727273
13;147;0.615385;0.888889;0.727273
14;193;0.666667;0.888889;0.761905
15;180;0.666667;0.888889;0.761905
16;94;0.615385;0.888889;0.727273
17;127;0.615385;0.888889;0.727273
18;104;0.615385;0.888889;0.727273
19;97;0.615385;0.888889;0.727273
20;147;0.615385;0.888889;0.727273
21;130;0.571429;0.888889;0.695652
22;130;0.571429;0.888889;0.695652
23;124;0.571429;0.888889;0.695652
24;129;0.571429;0.888889;0.695652
25;103;0.571429;0.888889;0.695652
26;118;0.533333;0.888889;0.666667
27;252;0.533333;0.888889;0.666667
28;148;0.533333;0.888889;0.666667
29;175;0.533333;0.888889;0.666667
30;132;0.533333;0.888889;0.666667
31;166;0.533333;0.888889;0.666667
32;141;0.533333;0.888889;0.666667
33;89;0.533333;0.888889;0.666667
34;104;0.533333;0.888889;0.666667
35;109;0.533333;0.888889;0.666667
36;99;0.533333;0.888889;0.666667
37;124;0.533333;0.888889;0.666667
38;130;0.533333;0.888889;0.666667
39;165;0.571429;0.888889;0.695652
40;108;0.571429;0.888889;0.695652
41;150;0.571429;0.888889;0.695652
42;130;0.571429;0.888889;0.695652
43;112;0.571429;0.888889;0.695652
44;164;0.571429;0.888889;0.695652
45;91;0.571429;0.888889;0.695652
46;105;0.571429;0.888889;0.695652
47;128;0.571429;0.888889;0.695652
48;157;0.571429;0.888889;0.695652
49;102;0.571429;0.888889;0.695652
50;124;0.571429;0.888889;0.695652
51;144;0.571429;0.888889;0.695652
52;158;0.571429;0.888889;0.695652
53;122;0.571429;0.888889;0.695652
54;179;0.571429;0.888889;0.695652
55;159;0.571429;0.888889;0.695652
56;251;0.571429;0.888889;0.695652
57;116;0.571429;0.888889;0.695652
58;87;0.571429;0.888889;0.695652
59;124;0.571429;0.888889;0.695652
60;206;0.571429;0.888889;0.695652
61;100;0.571429;0.888889;0.695652
62;141;0.571429;0.888889;0.695652
63;96;0.571429;0.888889;0.695652
64;89;0.571429;0.888889;0.695652
65;75;0.571429;0.888889;0.695652
66;107;0.454545;1.000000;0.625000
67;83;0.454545;1.000000;0.625000
68;83;0.454545;1.000000;0.625000
69;112;0.454545;1.000000;0.625000
70;102;0.454545;1.000000;0.625000
71;128;0.454545;1.000000;0.625000
72;111;0.454545;1.000000;0.625000
73;83;0.454545;1.000000;0.625000
74;112;0.454545;1.000000;0.625000
75;89;0.454545;1.000000;0.625000
76;79;0.454545;1.000000;0.625000
77;106;0.454545;1.000000;0.625000
78;131;0.454545;1.000000;0.625000
79;68;0.454545;1.000000;0.625000
80;106;0.454545;1.000000;0.625000
81;89;0.454545;1.000000;0.625000
82;104;0.454545;1.000000;0.625000
83;95;0.454545;1.000000;0.625000
84;95;0.454545;1.000000;0.625000
85;185;0.454545;1.000000;0.625000
86;102;0.454545;1.000000;0.625000
87;91;0.454545;1.000000;0.625000
88;90;0.454545;1.000000;0.625000
89;113;0.454545;1.000000;0.625000
90;191;0.454545;1.000000;0.625000
91;88;0.454545;1.000000;0.625000
92;103;0.454545;1.000000;0.625000
93;77;0.454545;1.000000;0.625000
94;81;0.454545;1.000000;0.625000
95;116;0.454545;1.000000;0.625000
96;82;0.454545;1.000000;0.625000
97;82;0.454545;1.000000;0.625000
98;81;0.454545;1.000000;0.625000
99;94;0.454545;1.000000;0.625000
100;122;0.454545;1.000000;0.625000
