RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;437;0.571429;0.888889;0.695652
2;237;0.615385;0.888889;0.727273
3;163;0.666667;0.888889;0.761905
4;239;0.666667;0.888889;0.761905
5;172;0.666667;0.888889;0.761905
6;144;0.615385;0.888889;0.727273
7;167;0.571429;0.888889;0.695652
8;164;0.533333;0.888889;0.666667
9;148;0.533333;0.888889;0.666667
10;165;0.666667;0.888889;0.761905
11;162;0.571429;0.888889;0.695652
12;226;0.533333;0.888889;0.666667
13;179;0.533333;0.888889;0.666667
14;188;0.615385;0.888889;0.727273
15;251;0.615385;0.888889;0.727273
16;115;0.533333;0.888889;0.666667
17;151;0.533333;0.888889;0.666667
18;125;0.533333;0.888889;0.666667
19;148;0.615385;0.888889;0.727273
20;189;0.666667;0.888889;0.761905
21;206;0.571429;0.888889;0.695652
22;133;0.571429;0.888889;0.695652
23;238;0.571429;0.888889;0.695652
24;169;0.571429;0.888889;0.695652
25;280;0.434783;1.000000;0.606061
26;151;0.434783;1.000000;0.606061
27;108;0.434783;1.000000;0.606061
28;143;0.476190;1.000000;0.645161
29;169;0.476190;1.000000;0.645161
30;84;0.476190;1.000000;0.645161
31;105;0.454545;1.000000;0.625000
32;97;0.476190;1.000000;0.645161
33;109;0.476190;1.000000;0.645161
34;123;0.500000;1.000000;0.666667
35;120;0.500000;1.000000;0.666667
36;93;0.476190;1.000000;0.645161
37;126;0.476190;1.000000;0.645161
38;149;0.476190;1.000000;0.645161
39;108;0.476190;1.000000;0.645161
40;119;0.476190;1.000000;0.645161
41;140;0.476190;1.000000;0.645161
42;110;0.454545;1.000000;0.625000
43;150;0.454545;1.000000;0.625000
44;93;0.454545;1.000000;0.625000
45;92;0.454545;1.000000;0.625000
46;98;0.454545;1.000000;0.625000
47;131;0.454545;1.000000;0.625000
48;132;0.454545;1.000000;0.625000
49;132;0.454545;1.000000;0.625000
50;103;0.454545;1.000000;0.625000
51;143;0.454545;1.000000;0.625000
52;116;0.454545;1.000000;0.625000
53;106;0.454545;1.000000;0.625000
54;190;0.454545;1.000000;0.625000
55;112;0.476190;1.000000;0.645161
56;182;0.476190;1.000000;0.645161
57;131;0.454545;1.000000;0.625000
58;136;0.454545;1.000000;0.625000
59;167;0.454545;1.000000;0.625000
60;153;0.454545;1.000000;0.625000
61;193;0.454545;1.000000;0.625000
62;131;0.454545;1.000000;0.625000
63;161;0.454545;1.000000;0.625000
64;174;0.454545;1.000000;0.625000
65;133;0.454545;1.000000;0.625000
66;104;0.454545;1.000000;0.625000
67;220;0.454545;1.000000;0.625000
68;116;0.454545;1.000000;0.625000
69;104;0.454545;1.000000;0.625000
70;99;0.454545;1.000000;0.625000
71;109;0.454545;1.000000;0.625000
72;135;0.454545;1.000000;0.625000
73;120;0.454545;1.000000;0.625000
74;130;0.454545;1.000000;0.625000
75;101;0.454545;1.000000;0.625000
76;105;0.454545;1.000000;0.625000
77;101;0.454545;1.000000;0.625000
78;128;0.454545;1.000000;0.625000
79;99;0.454545;1.000000;0.625000
80;151;0.454545;1.000000;0.625000
81;141;0.454545;1.000000;0.625000
82;138;0.454545;1.000000;0.625000
83;135;0.454545;1.000000;0.625000
84;119;0.454545;1.000000;0.625000
85;126;0.454545;1.000000;0.625000
86;111;0.454545;1.000000;0.625000
87;92;0.454545;1.000000;0.625000
88;96;0.454545;1.000000;0.625000
89;81;0.454545;1.000000;0.625000
90;103;0.454545;1.000000;0.625000
91;109;0.454545;1.000000;0.625000
92;112;0.454545;1.000000;0.625000
93;160;0.454545;1.000000;0.625000
94;95;0.454545;1.000000;0.625000
95;360;0.454545;1.000000;0.625000
96;128;0.454545;1.000000;0.625000
97;76;0.454545;1.000000;0.625000
98;75;0.454545;1.000000;0.625000
99;89;0.454545;1.000000;0.625000
100;195;0.454545;1.000000;0.625000
