RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;855;0.421053;0.888889;0.571429
2;284;0.615385;0.888889;0.727273
3;181;0.615385;0.888889;0.727273
4;200;0.615385;0.888889;0.727273
5;177;0.615385;0.888889;0.727273
6;142;0.571429;0.888889;0.695652
7;154;0.615385;0.888889;0.727273
8;205;0.615385;0.888889;0.727273
9;137;0.615385;0.888889;0.727273
10;193;0.615385;0.888889;0.727273
11;145;0.571429;0.888889;0.695652
12;133;0.571429;0.888889;0.695652
13;147;0.615385;0.888889;0.727273
14;265;0.615385;0.888889;0.727273
15;206;0.615385;0.888889;0.727273
16;160;0.571429;0.888889;0.695652
17;172;0.571429;0.888889;0.695652
18;155;0.571429;0.888889;0.695652
19;142;0.571429;0.888889;0.695652
20;144;0.571429;0.888889;0.695652
21;186;0.571429;0.888889;0.695652
22;147;0.571429;0.888889;0.695652
23;140;0.571429;0.888889;0.695652
24;200;0.571429;0.888889;0.695652
25;127;0.571429;0.888889;0.695652
26;122;0.571429;0.888889;0.695652
27;127;0.571429;0.888889;0.695652
28;133;0.434783;1.000000;0.606061
29;229;0.454545;1.000000;0.625000
30;136;0.454545;1.000000;0.625000
31;137;0.454545;1.000000;0.625000
32;150;0.454545;1.000000;0.625000
33;104;0.454545;1.000000;0.625000
34;115;0.454545;1.000000;0.625000
35;153;0.454545;1.000000;0.625000
36;104;0.454545;1.000000;0.625000
37;127;0.454545;1.000000;0.625000
38;133;0.454545;1.000000;0.625000
39;129;0.454545;1.000000;0.625000
40;195;0.434783;1.000000;0.606061
41;155;0.454545;1.000000;0.625000
42;127;0.454545;1.000000;0.625000
43;129;0.454545;1.000000;0.625000
44;147;0.454545;1.000000;0.625000
45;154;0.454545;1.000000;0.625000
46;99;0.454545;1.000000;0.625000
47;241;0.454545;1.000000;0.625000
48;220;0.454545;1.000000;0.625000
49;133;0.476190;1.000000;0.645161
50;178;0.476190;1.000000;0.645161
51;141;0.476190;1.000000;0.645161
52;136;0.454545;1.000000;0.625000
53;127;0.454545;1.000000;0.625000
54;223;0.454545;1.000000;0.625000
55;269;0.500000;1.000000;0.666667
56;116;0.526316;1.000000;0.689655
57;199;0.526316;1.000000;0.689655
58;169;0.526316;1.000000;0.689655
59;233;0.526316;1.000000;0.689655
60;178;0.526316;1.000000;0.689655
61;191;0.526316;1.000000;0.689655
62;155;0.500000;1.000000;0.666667
63;211;0.500000;1.000000;0.666667
64;130;0.500000;1.000000;0.666667
65;163;0.526316;1.000000;0.689655
66;184;0.526316;1.000000;0.689655
67;275;0.500000;1.000000;0.666667
68;116;0.500000;1.000000;0.666667
69;90;0.500000;1.000000;0.666667
70;138;0.526316;1.000000;0.689655
71;104;0.526316;1.000000;0.689655
72;104;0.500000;1.000000;0.666667
73;102;0.500000;1.000000;0.666667
74;94;0.500000;1.000000;0.666667
75;101;0.500000;1.000000;0.666667
76;98;0.500000;1.000000;0.666667
77;128;0.500000;1.000000;0.666667
78;110;0.500000;1.000000;0.666667
79;135;0.500000;1.000000;0.666667
80;136;0.500000;1.000000;0.666667
81;88;0.500000;1.000000;0.666667
82;105;0.500000;1.000000;0.666667
83;95;0.500000;1.000000;0.666667
84;102;0.500000;1.000000;0.666667
85;185;0.500000;1.000000;0.666667
86;102;0.500000;1.000000;0.666667
87;115;0.500000;1.000000;0.666667
88;119;0.500000;1.000000;0.666667
89;107;0.500000;1.000000;0.666667
90;130;0.500000;1.000000;0.666667
91;114;0.500000;1.000000;0.666667
92;101;0.500000;1.000000;0.666667
93;104;0.500000;1.000000;0.666667
94;85;0.500000;1.000000;0.666667
95;225;0.500000;1.000000;0.666667
96;96;0.500000;1.000000;0.666667
97;149;0.500000;1.000000;0.666667
98;106;0.500000;1.000000;0.666667
99;124;0.500000;1.000000;0.666667
100;158;0.500000;1.000000;0.666667
