RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;607;0.470588;0.888889;0.615385
2;228;0.500000;0.888889;0.640000
3;173;0.533333;0.888889;0.666667
4;234;0.571429;0.888889;0.695652
5;163;0.666667;0.888889;0.761905
6;191;0.571429;0.888889;0.695652
7;138;0.571429;0.888889;0.695652
8;174;0.571429;0.888889;0.695652
9;154;0.571429;0.888889;0.695652
10;166;0.571429;0.888889;0.695652
11;192;0.615385;0.888889;0.727273
12;314;0.615385;0.888889;0.727273
13;149;0.615385;0.888889;0.727273
14;130;0.615385;0.888889;0.727273
15;122;0.615385;0.888889;0.727273
16;168;0.615385;0.888889;0.727273
17;194;0.615385;0.888889;0.727273
18;148;0.615385;0.888889;0.727273
19;159;0.666667;0.888889;0.761905
20;196;0.666667;0.888889;0.761905
21;134;0.666667;0.888889;0.761905
22;165;0.666667;0.888889;0.761905
23;532;0.666667;0.888889;0.761905
24;149;0.666667;0.888889;0.761905
25;166;0.666667;0.888889;0.761905
26;137;0.666667;0.888889;0.761905
27;224;0.666667;0.888889;0.761905
28;163;0.666667;0.888889;0.761905
29;134;0.666667;0.888889;0.761905
30;250;0.666667;0.888889;0.761905
31;289;0.615385;0.888889;0.727273
32;143;0.615385;0.888889;0.727273
33;95;0.615385;0.888889;0.727273
34;85;0.615385;0.888889;0.727273
35;118;0.615385;0.888889;0.727273
36;97;0.615385;0.888889;0.727273
37;123;0.615385;0.888889;0.727273
38;106;0.615385;0.888889;0.727273
39;157;0.615385;0.888889;0.727273
40;123;0.615385;0.888889;0.727273
41;97;0.666667;0.888889;0.761905
42;86;0.666667;0.888889;0.761905
43;122;0.666667;0.888889;0.761905
44;88;0.666667;0.888889;0.761905
45;176;0.615385;0.888889;0.727273
46;148;0.666667;0.888889;0.761905
47;132;0.615385;0.888889;0.727273
48;177;0.615385;0.888889;0.727273
49;165;0.615385;0.888889;0.727273
50;113;0.666667;0.888889;0.761905
51;196;0.666667;0.888889;0.761905
52;120;0.615385;0.888889;0.727273
53;107;0.615385;0.888889;0.727273
54;183;0.571429;0.888889;0.695652
55;127;0.615385;0.888889;0.727273
56;159;0.615385;0.888889;0.727273
57;137;0.571429;0.888889;0.695652
58;128;0.571429;0.888889;0.695652
59;224;0.615385;0.888889;0.727273
60;243;0.615385;0.888889;0.727273
61;212;0.615385;0.888889;0.727273
62;120;0.571429;0.888889;0.695652
63;187;0.571429;0.888889;0.695652
64;267;0.615385;0.888889;0.727273
65;239;0.476190;1.000000;0.645161
66;164;0.476190;1.000000;0.645161
67;271;0.500000;1.000000;0.666667
68;110;0.500000;1.000000;0.666667
69;113;0.555556;1.000000;0.714286
70;133;0.526316;1.000000;0.689655
71;104;0.526316;1.000000;0.689655
72;114;0.526316;1.000000;0.689655
73;111;0.526316;1.000000;0.689655
74;130;0.526316;1.000000;0.689655
75;115;0.526316;1.000000;0.689655
76;119;0.526316;1.000000;0.689655
77;135;0.500000;1.000000;0.666667
78;118;0.500000;1.000000;0.666667
79;196;0.500000;1.000000;0.666667
80;149;0.500000;1.000000;0.666667
81;151;0.500000;1.000000;0.666667
82;164;0.500000;1.000000;0.666667
83;150;0.500000;1.000000;0.666667
84;150;0.500000;1.000000;0.666667
85;140;0.500000;1.000000;0.666667
86;130;0.500000;1.000000;0.666667
87;131;0.500000;1.000000;0.666667
88;175;0.500000;1.000000;0.666667
89;170;0.500000;1.000000;0.666667
90;155;0.500000;1.000000;0.666667
91;133;0.500000;1.000000;0.666667
92;119;0.500000;1.000000;0.666667
93;132;0.500000;1.000000;0.666667
94;134;0.500000;1.000000;0.666667
95;194;0.500000;1.000000;0.666667
96;135;0.500000;1.000000;0.666667
97;92;0.500000;1.000000;0.666667
98;124;0.500000;1.000000;0.666667
99;89;0.500000;1.000000;0.666667
100;165;0.500000;1.000000;0.666667
