RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;450;0.533333;0.888889;0.666667
2;326;0.533333;0.888889;0.666667
3;214;0.533333;0.888889;0.666667
4;213;0.533333;0.888889;0.666667
5;171;0.533333;0.888889;0.666667
6;172;0.533333;0.888889;0.666667
7;140;0.571429;0.888889;0.695652
8;180;0.571429;0.888889;0.695652
9;133;0.533333;0.888889;0.666667
10;161;0.533333;0.888889;0.666667
11;203;0.533333;0.888889;0.666667
12;150;0.533333;0.888889;0.666667
13;156;0.571429;0.888889;0.695652
14;180;0.571429;0.888889;0.695652
15;194;0.571429;0.888889;0.695652
16;126;0.571429;0.888889;0.695652
17;127;0.571429;0.888889;0.695652
18;119;0.571429;0.888889;0.695652
19;129;0.571429;0.888889;0.695652
20;254;0.571429;0.888889;0.695652
21;213;0.615385;0.888889;0.727273
22;141;0.615385;0.888889;0.727273
23;143;0.615385;0.888889;0.727273
24;119;0.615385;0.888889;0.727273
25;109;0.615385;0.888889;0.727273
26;157;0.615385;0.888889;0.727273
27;122;0.615385;0.888889;0.727273
28;170;0.615385;0.888889;0.727273
29;159;0.615385;0.888889;0.727273
30;149;0.615385;0.888889;0.727273
31;141;0.571429;0.888889;0.695652
32;180;0.571429;0.888889;0.695652
33;89;0.615385;0.888889;0.727273
34;95;0.571429;0.888889;0.695652
35;174;0.571429;0.888889;0.695652
36;129;0.533333;0.888889;0.666667
37;118;0.533333;0.888889;0.666667
38;155;0.533333;0.888889;0.666667
39;148;0.571429;0.888889;0.695652
40;112;0.571429;0.888889;0.695652
41;113;0.571429;0.888889;0.695652
42;106;0.571429;0.888889;0.695652
43;136;0.571429;0.888889;0.695652
44;116;0.571429;0.888889;0.695652
45;116;0.571429;0.888889;0.695652
46;97;0.571429;0.888889;0.695652
47;128;0.571429;0.888889;0.695652
48;155;0.571429;0.888889;0.695652
49;159;0.571429;0.888889;0.695652
50;118;0.454545;1.000000;0.625000
51;126;0.454545;1.000000;0.625000
52;91;0.454545;1.000000;0.625000
53;100;0.454545;1.000000;0.625000
54;143;0.454545;1.000000;0.625000
55;222;0.454545;1.000000;0.625000
56;216;0.454545;1.000000;0.625000
57;154;0.454545;1.000000;0.625000
58;225;0.454545;1.000000;0.625000
59;189;0.454545;1.000000;0.625000
60;116;0.454545;1.000000;0.625000
61;183;0.454545;1.000000;0.625000
62;197;0.454545;1.000000;0.625000
63;235;0.454545;1.000000;0.625000
64;227;0.454545;1.000000;0.625000
65;319;0.476190;1.000000;0.645161
66;108;0.454545;1.000000;0.625000
67;147;0.454545;1.000000;0.625000
68;129;0.454545;1.000000;0.625000
69;131;0.454545;1.000000;0.625000
70;106;0.454545;1.000000;0.625000
71;239;0.454545;1.000000;0.625000
72;148;0.454545;1.000000;0.625000
73;100;0.476190;1.000000;0.645161
74;182;0.476190;1.000000;0.645161
75;131;0.476190;1.000000;0.645161
76;93;0.454545;1.000000;0.625000
77;137;0.476190;1.000000;0.645161
78;143;0.476190;1.000000;0.645161
79;110;0.476190;1.000000;0.645161
80;176;0.476190;1.000000;0.645161
81;130;0.454545;1.000000;0.625000
82;107;0.454545;1.000000;0.625000
83;111;0.454545;1.000000;0.625000
84;122;0.454545;1.000000;0.625000
85;139;0.454545;1.000000;0.625000
86;169;0.454545;1.000000;0.625000
87;118;0.454545;1.000000;0.625000
88;95;0.454545;1.000000;0.625000
89;92;0.454545;1.000000;0.625000
90;106;0.454545;1.000000;0.625000
91;143;0.454545;1.000000;0.625000
92;110;0.454545;1.000000;0.625000
93;122;0.454545;1.000000;0.625000
94;155;0.454545;1.000000;0.625000
95;213;0.454545;1.000000;0.625000
96;101;0.454545;1.000000;0.625000
97;134;0.454545;1.000000;0.625000
98;102;0.454545;1.000000;0.625000
99;139;0.454545;1.000000;0.625000
100;225;0.454545;1.000000;0.625000
