RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;639;0.533333;0.888889;0.666667
2;307;0.615385;0.888889;0.727273
3;196;0.571429;0.888889;0.695652
4;275;0.571429;0.888889;0.695652
5;185;0.571429;0.888889;0.695652
6;155;0.533333;0.888889;0.666667
7;135;0.533333;0.888889;0.666667
8;271;0.588235;1.000000;0.740741
9;202;0.588235;1.000000;0.740741
10;168;0.588235;1.000000;0.740741
11;197;0.588235;1.000000;0.740741
12;122;0.588235;1.000000;0.740741
13;183;0.588235;1.000000;0.740741
14;202;0.588235;1.000000;0.740741
15;155;0.588235;1.000000;0.740741
16;142;0.588235;1.000000;0.740741
17;230;0.588235;1.000000;0.740741
18;157;0.588235;1.000000;0.740741
19;109;0.588235;1.000000;0.740741
20;126;0.588235;1.000000;0.740741
21;107;0.588235;1.000000;0.740741
22;102;0.588235;1.000000;0.740741
23;97;0.588235;1.000000;0.740741
24;97;0.588235;1.000000;0.740741
25;94;0.588235;1.000000;0.740741
26;76;0.555556;1.000000;0.714286
27;92;0.588235;1.000000;0.740741
28;184;0.588235;1.000000;0.740741
29;101;0.588235;1.000000;0.740741
30;126;0.588235;1.000000;0.740741
31;100;0.555556;1.000000;0.714286
32;111;0.555556;1.000000;0.714286
33;77;0.555556;1.000000;0.714286
34;91;0.588235;1.000000;0.740741
35;127;0.588235;1.000000;0.740741
36;87;0.588235;1.000000;0.740741
37;94;0.588235;1.000000;0.740741
38;127;0.588235;1.000000;0.740741
39;125;0.588235;1.000000;0.740741
40;101;0.588235;1.000000;0.740741
41;112;0.588235;1.000000;0.740741
42;82;0.588235;1.000000;0.740741
43;111;0.588235;1.000000;0.740741
44;88;0.588235;1.000000;0.740741
45;155;0.588235;1.000000;0.740741
46;150;0.588235;1.000000;0.740741
47;101;0.588235;1.000000;0.740741
48;129;0.588235;1.000000;0.740741
49;106;0.588235;1.000000;0.740741
50;97;0.588235;1.000000;0.740741
51;142;0.588235;1.000000;0.740741
52;104;0.588235;1.000000;0.740741
53;60;0.588235;1.000000;0.740741
54;118;0.588235;1.000000;0.740741
55;207;0.588235;1.000000;0.740741
56;157;0.588235;1.000000;0.740741
57;141;0.588235;1.000000;0.740741
58;130;0.588235;1.000000;0.740741
59;115;0.588235;1.000000;0.740741
60;111;0.588235;1.000000;0.740741
61;101;0.588235;1.000000;0.740741
62;134;0.588235;1.000000;0.740741
63;129;0.588235;1.000000;0.740741
64;126;0.588235;1.000000;0.740741
65;108;0.588235;1.000000;0.740741
66;178;0.588235;1.000000;0.740741
67;116;0.588235;1.000000;0.740741
68;159;0.588235;1.000000;0.740741
69;161;0.588235;1.000000;0.740741
70;77;0.588235;1.000000;0.740741
71;88;0.588235;1.000000;0.740741
72;94;0.588235;1.000000;0.740741
73;101;0.588235;1.000000;0.740741
74;102;0.588235;1.000000;0.740741
75;92;0.588235;1.000000;0.740741
76;109;0.588235;1.000000;0.740741
77;144;0.588235;1.000000;0.740741
78;124;0.588235;1.000000;0.740741
79;103;0.588235;1.000000;0.740741
80;201;0.588235;1.000000;0.740741
81;96;0.588235;1.000000;0.740741
82;134;0.588235;1.000000;0.740741
83;101;0.588235;1.000000;0.740741
84;214;0.588235;1.000000;0.740741
85;89;0.588235;1.000000;0.740741
86;97;0.588235;1.000000;0.740741
87;92;0.588235;1.000000;0.740741
88;105;0.588235;1.000000;0.740741
89;117;0.588235;1.000000;0.740741
90;93;0.588235;1.000000;0.740741
91;145;0.588235;1.000000;0.740741
92;105;0.588235;1.000000;0.740741
93;184;0.555556;1.000000;0.714286
94;73;0.555556;1.000000;0.714286
95;187;0.555556;1.000000;0.714286
96;103;0.555556;1.000000;0.714286
97;76;0.555556;1.000000;0.714286
98;151;0.555556;1.000000;0.714286
99;400;0.555556;1.000000;0.714286
100;184;0.555556;1.000000;0.714286
