RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;485;0.421053;0.888889;0.571429
2;190;0.615385;0.888889;0.727273
3;165;0.571429;0.888889;0.695652
4;220;0.533333;0.888889;0.666667
5;160;0.571429;0.888889;0.695652
6;142;0.533333;0.888889;0.666667
7;166;0.533333;0.888889;0.666667
8;171;0.533333;0.888889;0.666667
9;159;0.533333;0.888889;0.666667
10;184;0.533333;0.888889;0.666667
11;240;0.500000;0.888889;0.640000
12;135;0.500000;0.888889;0.640000
13;172;0.533333;0.888889;0.666667
14;165;0.533333;0.888889;0.666667
15;128;0.533333;0.888889;0.666667
16;187;0.533333;0.888889;0.666667
17;125;0.533333;0.888889;0.666667
18;124;0.533333;0.888889;0.666667
19;141;0.533333;0.888889;0.666667
20;217;0.533333;0.888889;0.666667
21;143;0.533333;0.888889;0.666667
22;187;0.533333;0.888889;0.666667
23;118;0.533333;0.888889;0.666667
24;173;0.533333;0.888889;0.666667
25;125;0.533333;0.888889;0.666667
26;108;0.533333;0.888889;0.666667
27;124;0.533333;0.888889;0.666667
28;132;0.533333;0.888889;0.666667
29;154;0.533333;0.888889;0.666667
30;124;0.533333;0.888889;0.666667
31;148;0.533333;0.888889;0.666667
32;117;0.500000;0.888889;0.640000
33;104;0.500000;0.888889;0.640000
34;106;0.500000;0.888889;0.640000
35;122;0.533333;0.888889;0.666667
36;112;0.533333;0.888889;0.666667
37;129;0.500000;0.888889;0.640000
38;147;0.533333;0.888889;0.666667
39;152;0.533333;0.888889;0.666667
40;99;0.533333;0.888889;0.666667
41;100;0.533333;0.888889;0.666667
42;131;0.533333;0.888889;0.666667
43;126;0.533333;0.888889;0.666667
44;131;0.533333;0.888889;0.666667
45;103;0.500000;0.888889;0.640000
46;146;0.500000;0.888889;0.640000
47;156;0.533333;0.888889;0.666667
48;122;0.533333;0.888889;0.666667
49;144;0.533333;0.888889;0.666667
50;107;0.533333;0.888889;0.666667
51;119;0.533333;0.888889;0.666667
52;125;0.533333;0.888889;0.666667
53;92;0.533333;0.888889;0.666667
54;162;0.533333;0.888889;0.666667
55;172;0.533333;0.888889;0.666667
56;122;0.533333;0.888889;0.666667
57;164;0.533333;0.888889;0.666667
58;129;0.533333;0.888889;0.666667
59;154;0.533333;0.888889;0.666667
60;152;0.533333;0.888889;0.666667
61;168;0.533333;0.888889;0.666667
62;102;0.533333;0.888889;0.666667
63;101;0.533333;0.888889;0.666667
64;137;0.533333;0.888889;0.666667
65;97;0.533333;0.888889;0.666667
66;118;0.533333;0.888889;0.666667
67;154;0.533333;0.888889;0.666667
68;108;0.533333;0.888889;0.666667
69;389;0.533333;0.888889;0.666667
70;85;0.533333;0.888889;0.666667
71;127;0.533333;0.888889;0.666667
72;132;0.533333;0.888889;0.666667
73;170;0.533333;0.888889;0.666667
74;131;0.533333;0.888889;0.666667
75;112;0.533333;0.888889;0.666667
76;113;0.526316;1.000000;0.689655
77;141;0.526316;1.000000;0.689655
78;120;0.526316;1.000000;0.689655
79;84;0.526316;1.000000;0.689655
80;179;0.526316;1.000000;0.689655
81;121;0.526316;1.000000;0.689655
82;143;0.526316;1.000000;0.689655
83;107;0.526316;1.000000;0.689655
84;164;0.526316;1.000000;0.689655
85;104;0.526316;1.000000;0.689655
86;117;0.526316;1.000000;0.689655
87;134;0.526316;1.000000;0.689655
88;124;0.526316;1.000000;0.689655
89;105;0.526316;1.000000;0.689655
90;135;0.526316;1.000000;0.689655
91;121;0.526316;1.000000;0.689655
92;114;0.526316;1.000000;0.689655
93;183;0.526316;1.000000;0.689655
94;134;0.526316;1.000000;0.689655
95;180;0.526316;1.000000;0.689655
96;129;0.526316;1.000000;0.689655
97;105;0.526316;1.000000;0.689655
98;137;0.526316;1.000000;0.689655
99;232;0.526316;1.000000;0.689655
100;121;0.526316;1.000000;0.689655
