RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;470;0.470588;0.888889;0.615385
2;276;0.666667;0.888889;0.761905
3;223;0.571429;0.888889;0.695652
4;249;0.666667;0.888889;0.761905
5;149;0.666667;0.888889;0.761905
6;151;0.666667;0.888889;0.761905
7;132;0.666667;0.888889;0.761905
8;204;0.571429;0.888889;0.695652
9;182;0.533333;0.888889;0.666667
10;152;0.533333;0.888889;0.666667
11;169;0.533333;0.888889;0.666667
12;210;0.533333;0.888889;0.666667
13;171;0.500000;0.888889;0.640000
14;220;0.500000;0.888889;0.640000
15;229;0.500000;0.888889;0.640000
16;130;0.500000;0.888889;0.640000
17;155;0.500000;0.888889;0.640000
18;126;0.500000;0.888889;0.640000
19;135;0.500000;0.888889;0.640000
20;269;0.500000;0.888889;0.640000
21;150;0.500000;0.888889;0.640000
22;176;0.500000;0.888889;0.640000
23;102;0.500000;0.888889;0.640000
24;116;0.500000;0.888889;0.640000
25;113;0.500000;0.888889;0.640000
26;137;0.500000;0.888889;0.640000
27;154;0.500000;0.888889;0.640000
28;191;0.500000;0.888889;0.640000
29;181;0.500000;0.888889;0.640000
30;151;0.533333;0.888889;0.666667
31;159;0.533333;0.888889;0.666667
32;111;0.533333;0.888889;0.666667
33;143;0.533333;0.888889;0.666667
34;101;0.533333;0.888889;0.666667
35;153;0.533333;0.888889;0.666667
36;129;0.533333;0.888889;0.666667
37;143;0.533333;0.888889;0.666667
38;143;0.533333;0.888889;0.666667
39;144;0.533333;0.888889;0.666667
40;117;0.533333;0.888889;0.666667
41;110;0.533333;0.888889;0.666667
42;131;0.533333;0.888889;0.666667
43;112;0.533333;0.888889;0.666667
44;98;0.533333;0.888889;0.666667
45;97;0.533333;0.888889;0.666667
46;148;0.533333;0.888889;0.666667
47;115;0.533333;0.888889;0.666667
48;149;0.533333;0.888889;0.666667
49;154;0.533333;0.888889;0.666667
50;162;0.533333;0.888889;0.666667
51;87;0.533333;0.888889;0.666667
52;123;0.533333;0.888889;0.666667
53;95;0.533333;0.888889;0.666667
54;168;0.533333;0.888889;0.666667
55;132;0.533333;0.888889;0.666667
56;216;0.533333;0.888889;0.666667
57;191;0.533333;0.888889;0.666667
58;135;0.533333;0.888889;0.666667
59;134;0.533333;0.888889;0.666667
60;159;0.533333;0.888889;0.666667
61;158;0.533333;0.888889;0.666667
62;134;0.533333;0.888889;0.666667
63;105;0.533333;0.888889;0.666667
64;131;0.533333;0.888889;0.666667
65;122;0.533333;0.888889;0.666667
66;113;0.533333;0.888889;0.666667
67;286;0.533333;0.888889;0.666667
68;111;0.533333;0.888889;0.666667
69;108;0.533333;0.888889;0.666667
70;104;0.533333;0.888889;0.666667
71;157;0.533333;0.888889;0.666667
72;99;0.533333;0.888889;0.666667
73;132;0.533333;0.888889;0.666667
74;241;0.533333;0.888889;0.666667
75;104;0.533333;0.888889;0.666667
76;124;0.533333;0.888889;0.666667
77;132;0.533333;0.888889;0.666667
78;118;0.533333;0.888889;0.666667
79;103;0.533333;0.888889;0.666667
80;221;0.533333;0.888889;0.666667
81;119;0.416667;1.000000;0.588235
82;151;0.416667;1.000000;0.588235
83;145;0.416667;1.000000;0.588235
84;136;0.400000;1.000000;0.571429
85;233;0.416667;1.000000;0.588235
86;132;0.416667;1.000000;0.588235
87;124;0.416667;1.000000;0.588235
88;143;0.416667;1.000000;0.588235
89;100;0.416667;1.000000;0.588235
90;153;0.416667;1.000000;0.588235
91;137;0.400000;1.000000;0.571429
92;109;0.416667;1.000000;0.588235
93;243;0.416667;1.000000;0.588235
94;100;0.416667;1.000000;0.588235
95;342;0.400000;1.000000;0.571429
96;136;0.400000;1.000000;0.571429
97;140;0.416667;1.000000;0.588235
98;206;0.416667;1.000000;0.588235
99;119;0.416667;1.000000;0.588235
100;221;0.416667;1.000000;0.588235
