RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;559;0.571429;0.888889;0.695652
2;250;0.571429;0.888889;0.695652
3;199;0.571429;0.888889;0.695652
4;232;0.533333;0.888889;0.666667
5;173;0.533333;0.888889;0.666667
6;199;0.533333;0.888889;0.666667
7;505;0.533333;0.888889;0.666667
8;146;0.533333;0.888889;0.666667
9;139;0.533333;0.888889;0.666667
10;242;0.533333;0.888889;0.666667
11;296;0.500000;0.888889;0.640000
12;170;0.533333;0.888889;0.666667
13;192;0.533333;0.888889;0.666667
14;204;0.533333;0.888889;0.666667
15;109;0.500000;0.888889;0.640000
16;96;0.533333;0.888889;0.666667
17;113;0.533333;0.888889;0.666667
18;123;0.533333;0.888889;0.666667
19;166;0.533333;0.888889;0.666667
20;140;0.533333;0.888889;0.666667
21;148;0.500000;0.888889;0.640000
22;170;0.500000;0.888889;0.640000
23;101;0.500000;0.888889;0.640000
24;136;0.500000;0.888889;0.640000
25;110;0.500000;0.888889;0.640000
26;92;0.533333;0.888889;0.666667
27;94;0.533333;0.888889;0.666667
28;190;0.500000;0.888889;0.640000
29;257;0.500000;0.888889;0.640000
30;158;0.500000;0.888889;0.640000
31;112;0.533333;0.888889;0.666667
32;114;0.533333;0.888889;0.666667
33;93;0.533333;0.888889;0.666667
34;93;0.533333;0.888889;0.666667
35;103;0.533333;0.888889;0.666667
36;115;0.533333;0.888889;0.666667
37;112;0.533333;0.888889;0.666667
38;117;0.533333;0.888889;0.666667
39;118;0.533333;0.888889;0.666667
40;95;0.533333;0.888889;0.666667
41;85;0.533333;0.888889;0.666667
42;111;0.533333;0.888889;0.666667
43;129;0.533333;0.888889;0.666667
44;84;0.533333;0.888889;0.666667
45;95;0.533333;0.888889;0.666667
46;87;0.533333;0.888889;0.666667
47;122;0.533333;0.888889;0.666667
48;153;0.533333;0.888889;0.666667
49;160;0.533333;0.888889;0.666667
50;123;0.533333;0.888889;0.666667
51;97;0.533333;0.888889;0.666667
52;89;0.533333;0.888889;0.666667
53;132;0.533333;0.888889;0.666667
54;161;0.533333;0.888889;0.666667
55;207;0.533333;0.888889;0.666667
56;202;0.533333;0.888889;0.666667
57;162;0.533333;0.888889;0.666667
58;122;0.533333;0.888889;0.666667
59;201;0.533333;0.888889;0.666667
60;154;0.533333;0.888889;0.666667
61;142;0.533333;0.888889;0.666667
62;260;0.533333;0.888889;0.666667
63;98;0.533333;0.888889;0.666667
64;170;0.533333;0.888889;0.666667
65;91;0.533333;0.888889;0.666667
66;100;0.533333;0.888889;0.666667
67;232;0.533333;0.888889;0.666667
68;116;0.416667;1.000000;0.588235
69;103;0.416667;1.000000;0.588235
70;135;0.416667;1.000000;0.588235
71;92;0.416667;1.000000;0.588235
72;90;0.416667;1.000000;0.588235
73;88;0.416667;1.000000;0.588235
74;111;0.416667;1.000000;0.588235
75;103;0.434783;1.000000;0.606061
76;98;0.434783;1.000000;0.606061
77;104;0.434783;1.000000;0.606061
78;143;0.434783;1.000000;0.606061
79;97;0.434783;1.000000;0.606061
80;127;0.434783;1.000000;0.606061
81;97;0.416667;1.000000;0.588235
82;121;0.416667;1.000000;0.588235
83;112;0.416667;1.000000;0.588235
84;150;0.416667;1.000000;0.588235
85;95;0.416667;1.000000;0.588235
86;151;0.416667;1.000000;0.588235
87;96;0.416667;1.000000;0.588235
88;88;0.416667;1.000000;0.588235
89;91;0.416667;1.000000;0.588235
90;112;0.416667;1.000000;0.588235
91;123;0.416667;1.000000;0.588235
92;97;0.416667;1.000000;0.588235
93;124;0.416667;1.000000;0.588235
94;101;0.416667;1.000000;0.588235
95;173;0.416667;1.000000;0.588235
96;119;0.416667;1.000000;0.588235
97;80;0.416667;1.000000;0.588235
98;99;0.416667;1.000000;0.588235
99;127;0.416667;1.000000;0.588235
100;137;0.416667;1.000000;0.588235
