RequisitionNumber; ElapsedTime; Precision; Recall; FMeasure
1;469;0.500000;0.888889;0.640000
2;253;0.615385;0.888889;0.727273
3;158;0.571429;0.888889;0.695652
4;415;0.571429;0.888889;0.695652
5;164;0.615385;0.888889;0.727273
6;140;0.571429;0.888889;0.695652
7;135;0.571429;0.888889;0.695652
8;133;0.533333;0.888889;0.666667
9;168;0.571429;0.888889;0.695652
10;138;0.571429;0.888889;0.695652
11;158;0.533333;0.888889;0.666667
12;140;0.533333;0.888889;0.666667
13;143;0.533333;0.888889;0.666667
14;182;0.533333;0.888889;0.666667
15;112;0.533333;0.888889;0.666667
16;129;0.533333;0.888889;0.666667
17;156;0.533333;0.888889;0.666667
18;177;0.533333;0.888889;0.666667
19;177;0.533333;0.888889;0.666667
20;174;0.533333;0.888889;0.666667
21;164;0.533333;0.888889;0.666667
22;155;0.533333;0.888889;0.666667
23;130;0.533333;0.888889;0.666667
24;142;0.533333;0.888889;0.666667
25;124;0.533333;0.888889;0.666667
26;164;0.533333;0.888889;0.666667
27;178;0.533333;0.888889;0.666667
28;112;0.533333;0.888889;0.666667
29;203;0.533333;0.888889;0.666667
30;141;0.533333;0.888889;0.666667
31;106;0.533333;0.888889;0.666667
32;126;0.533333;0.888889;0.666667
33;102;0.533333;0.888889;0.666667
34;495;0.533333;0.888889;0.666667
35;135;0.533333;0.888889;0.666667
36;157;0.533333;0.888889;0.666667
37;151;0.533333;0.888889;0.666667
38;168;0.533333;0.888889;0.666667
39;150;0.533333;0.888889;0.666667
40;112;0.533333;0.888889;0.666667
41;157;0.533333;0.888889;0.666667
42;148;0.533333;0.888889;0.666667
43;120;0.533333;0.888889;0.666667
44;150;0.533333;0.888889;0.666667
45;153;0.533333;0.888889;0.666667
46;105;0.533333;0.888889;0.666667
47;137;0.533333;0.888889;0.666667
48;163;0.533333;0.888889;0.666667
49;123;0.533333;0.888889;0.666667
50;144;0.500000;0.888889;0.640000
51;173;0.500000;0.888889;0.640000
52;184;0.500000;0.888889;0.640000
53;89;0.500000;0.888889;0.640000
54;228;0.500000;0.888889;0.640000
55;162;0.500000;0.888889;0.640000
56;126;0.500000;0.888889;0.640000
57;191;0.500000;0.888889;0.640000
58;186;0.500000;0.888889;0.640000
59;183;0.500000;0.888889;0.640000
60;158;0.500000;0.888889;0.640000
61;222;0.500000;0.888889;0.640000
62;120;0.470588;0.888889;0.615385
63;185;0.500000;0.888889;0.640000
64;206;0.500000;0.888889;0.640000
65;135;0.500000;0.888889;0.640000
66;147;0.500000;0.888889;0.640000
67;215;0.500000;0.888889;0.640000
68;140;0.500000;0.888889;0.640000
69;158;0.500000;0.888889;0.640000
70;106;0.500000;0.888889;0.640000
71;113;0.500000;0.888889;0.640000
72;124;0.500000;0.888889;0.640000
73;135;0.500000;0.888889;0.640000
74;111;0.500000;0.888889;0.640000
75;120;0.500000;0.888889;0.640000
76;148;0.500000;0.888889;0.640000
77;116;0.500000;0.888889;0.640000
78;124;0.533333;0.888889;0.666667
79;80;0.533333;0.888889;0.666667
80;140;0.533333;0.888889;0.666667
81;136;0.533333;0.888889;0.666667
82;89;0.533333;0.888889;0.666667
83;138;0.500000;0.888889;0.640000
84;103;0.533333;0.888889;0.666667
85;115;0.500000;0.888889;0.640000
86;86;0.500000;0.888889;0.640000
87;105;0.500000;0.888889;0.640000
88;109;0.500000;0.888889;0.640000
89;135;0.500000;0.888889;0.640000
90;174;0.500000;0.888889;0.640000
91;129;0.500000;0.888889;0.640000
92;81;0.500000;0.888889;0.640000
93;170;0.500000;0.888889;0.640000
94;104;0.500000;0.888889;0.640000
95;119;0.500000;0.888889;0.640000
96;116;0.500000;0.888889;0.640000
97;125;0.500000;0.888889;0.640000
98;140;0.533333;0.888889;0.666667
99;329;0.533333;0.888889;0.666667
100;247;0.533333;0.888889;0.666667
