RequisitionNumber;ElapsedTime;Precision;Recall;FMeasure
1;401;0.571428571;0.888888889;0.695652174
2;238;0.571428571;0.888888889;0.695652174
3;199;0.571428571;0.888888889;0.695652174
4;224;0.533333333;0.888888889;0.666666667
5;165;0.533333333;0.888888889;0.666666667
6;150;0.571428571;0.888888889;0.695652174
7;160;0.571428571;0.888888889;0.695652174
8;166;0.571428571;0.888888889;0.695652174
9;165;0.533333333;0.888888889;0.666666667
10;177;0.533333333;0.888888889;0.666666667
11;184;0.533333333;0.888888889;0.666666667
12;177;0.533333333;0.888888889;0.666666667
13;188;0.533333333;0.888888889;0.666666667
14;175;0.533333333;0.888888889;0.666666667
15;134;0.533333333;0.888888889;0.666666667
16;105;0.533333333;0.888888889;0.666666667
17;125;0.533333333;0.888888889;0.666666667
18;575;0.533333333;0.888888889;0.666666667
19;118;0.533333333;0.888888889;0.666666667
20;179;0.533333333;0.888888889;0.666666667
21;212;0.533333333;0.888888889;0.666666667
22;210;0.533333333;0.888888889;0.666666667
23;113;0.533333333;0.888888889;0.666666667
24;142;0.533333333;0.888888889;0.666666667
25;125;0.533333333;0.888888889;0.666666667
26;131;0.533333333;0.888888889;0.666666667
27;114;0.533333333;0.888888889;0.666666667
28;169;0.533333333;0.888888889;0.666666667
29;157;0.533333333;0.888888889;0.666666667
30;141;0.533333333;0.888888889;0.666666667
31;145;0.533333333;0.888888889;0.666666667
32;122;0.533333333;0.888888889;0.666666667
33;100;0.533333333;0.888888889;0.666666667
34;224;0.533333333;0.888888889;0.666666667
35;112;0.533333333;0.888888889;0.666666667
36;128;0.533333333;0.888888889;0.666666667
37;150;0.533333333;0.888888889;0.666666667
38;168;0.533333333;0.888888889;0.666666667
39;128;0.533333333;0.888888889;0.666666667
40;148;0.533333333;0.888888889;0.666666667
41;145;0.533333333;0.888888889;0.666666667
42;189;0.533333333;0.888888889;0.666666667
43;139;0.533333333;0.888888889;0.666666667
44;117;0.533333333;0.888888889;0.666666667
45;106;0.533333333;0.888888889;0.666666667
46;111;0.533333333;0.888888889;0.666666667
47;140;0.533333333;0.888888889;0.666666667
48;164;0.533333333;0.888888889;0.666666667
49;117;0.533333333;0.888888889;0.666666667
50;120;0.533333333;0.888888889;0.666666667
51;140;0.533333333;0.888888889;0.666666667
52;133;0.533333333;0.888888889;0.666666667
53;121;0.533333333;0.888888889;0.666666667
54;293;0.533333333;0.888888889;0.666666667
55;180;0.533333333;0.888888889;0.666666667
56;232;0.533333333;0.888888889;0.666666667
57;120;0.533333333;0.888888889;0.666666667
58;139;0.533333333;0.888888889;0.666666667
59;202;0.533333333;0.888888889;0.666666667
60;232;0.533333333;0.888888889;0.666666667
61;127;0.533333333;0.888888889;0.666666667
62;249;0.533333333;0.888888889;0.666666667
63;90;0.533333333;0.888888889;0.666666667
64;120;0.533333333;0.888888889;0.666666667
65;170;0.533333333;0.888888889;0.666666667
66;120;0.533333333;0.888888889;0.666666667
67;133;0.533333333;0.888888889;0.666666667
68;217;0.533333333;0.888888889;0.666666667
69;104;0.533333333;0.888888889;0.666666667
70;116;0.533333333;0.888888889;0.666666667
71;112;0.533333333;0.888888889;0.666666667
72;97;0.533333333;0.888888889;0.666666667
73;101;0.533333333;0.888888889;0.666666667
74;123;0.533333333;0.888888889;0.666666667
75;136;0.533333333;0.888888889;0.666666667
76;158;0.533333333;0.888888889;0.666666667
77;127;0.533333333;0.888888889;0.666666667
78;100;0.533333333;0.888888889;0.666666667
79;79;0.533333333;0.888888889;0.666666667
80;187;0.533333333;0.888888889;0.666666667
81;82;0.533333333;0.888888889;0.666666667
82;126;0.533333333;0.888888889;0.666666667
83;112;0.533333333;0.888888889;0.666666667
84;156;0.533333333;0.888888889;0.666666667
85;135;0.533333333;0.888888889;0.666666667
86;190;0.533333333;0.888888889;0.666666667
87;110;0.533333333;0.888888889;0.666666667
88;118;0.533333333;0.888888889;0.666666667
89;105;0.533333333;0.888888889;0.666666667
90;140;0.533333333;0.888888889;0.666666667
91;137;0.533333333;0.888888889;0.666666667
92;87;0.533333333;0.888888889;0.666666667
93;137;0.533333333;0.888888889;0.666666667
94;157;0.533333333;0.888888889;0.666666667
95;135;0.533333333;0.888888889;0.666666667
96;101;0.533333333;0.888888889;0.666666667
97;97;0.533333333;0.888888889;0.666666667
98;165;0.533333333;0.888888889;0.666666667
99;108;0.533333333;0.888888889;0.666666667
100;189;0.533333333;0.888888889;0.666666667
